row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.340.418.700.549,38.176.736.312.911,221.077.726.764,99.588.244.088,2.125.174.725.439,46.962.995.709.751,6340418700549.0,38176736312911.0,221077726764.0,99588244088.0,2125174725439.0,46962995709751.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,464.646.465,5.283.540.000,20.145.094.182,25.814.958.208,-,51.708.238.855,464646465.0,5283540000.0,20145094182.0,25814958208.0,,51708238855.0
Đầu tư xây dựng cơ bản hoản thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoản thành,Đầu tư xây dựng cơ bản hoản thành,5.650.597.613,12.878.960.280,-,5.595.489.901,-,24.125.047.794,5650597613.0,12878960280.0,,5595489901.0,,24125047794.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,-,-,(91.630.000),91.630.000,-,,,,-91630000.0,91630000.0,
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.802.917.371),(4.192.009.168),(2.290.899.420),-,(8.285.825.959),,-1802917371.0,-4192009168.0,-2290899420.0,,-8285825959.0
Điều chỉnh khác,NGUYÊN GIÁ > Điều chỉnh khác,Điều chỉnh khác,71.394.601,-,-,(52.476.030),-,18.918.571,71394601.0,,,-52476030.0,,18918571.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.346.605.339.228,38.193.095.895.820,237.030.811.778,128.563.686.747,2.125.266.355.439,47.030.562.089.012,6346605339228.0,38193095895820.0,237030811778.0,128563686747.0,2125266355439.0,47030562089012.0
GIÁ TRỊ HAO MÒN LÜY KẾ,GIÁ TRỊ HAO MÒN LÜY KẾ,GIÁ TRỊ HAO MÒN LÜY KẾ,GIÁ TRỊ HAO MÒN LÜY KẾ,GIÁ TRỊ HAO MÒN LÜY KẾ,GIÁ TRỊ HAO MÒN LÜY KẾ,GIÁ TRỊ HAO MÒN LÜY KẾ,GIÁ TRỊ HAO MÒN LÜY KẾ,GIÁ TRỊ HAO MÒN LÜY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LÜY KẾ > Số dư đầu năm,Số dư đầu năm,1.739.275.304.677,18.632.341.988.268,186.565.189.138,75.891.957.165,265.823.002.256,20.899.897.441.504,1739275304677.0,18632341988268.0,186565189138.0,75891957165.0,265823002256.0,20899897441504.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LÜY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,279.548.657.491,1.546.901.104.725,7.994.329.992,11.066.008.550,88.666.541.050,1.934.176.641.808,279548657491.0,1546901104725.0,7994329992.0,11066008550.0,88666541050.0,1934176641808.0
Khẩu hao tài sản của Ban Chuẩn bị đầu tư các dự án Điền khí,GIÁ TRỊ HAO MÒN LÜY KẾ > Khẩu hao tài sản của Ban Chuẩn bị đầu tư các dự án Điền khí,Khẩu hao tài sản của Ban Chuẩn bị đầu tư các dự án Điền khí,-,-,-,6.033.770,-,6.033.770,,,,6033770.0,,6033770.0
Phân loại lại,GIÁ TRỊ HAO MÒN LÜY KẾ > Phân loại lại,Phân loại lại,-,-,-,(91.630.000),91.630.000,-,,,,-91630000.0,91630000.0,
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LÜY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.746.380.072),(4.192.009.168),(2.290.899.420),-,(8.229.288.660),,-1746380072.0,-4192009168.0,-2290899420.0,,-8229288660.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LÜY KẾ > Số dư cuối năm,Số dư cuối năm,2.018.823.962.168,20.177.496.712.921,190.367.509.962,84.581.470.065,354.581.173.306,22.825.850.828.422,2018823962168.0,20177496712921.0,190367509962.0,84581470065.0,354581173306.0,22825850828422.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.601.143.395.872,19.544.394.324.643,34.512.537.626,23.696.286.923,1.859.351.723.183,26.063.098.268.247,4601143395872.0,19544394324643.0,34512537626.0,23696286923.0,1859351723183.0,26063098268247.0
Tại ngày cuối năm,GIÁ TRỊ CÔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,4.327.781.377.060,18.015.599.182.899,46.663.301.816,43.982.216.682,1.770.685.182.133,24.204.711.260.590,4327781377060.0,18015599182899.0,46663301816.0,43982216682.0,1770685182133.0,24204711260590.0
