row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,504.685.200.379,504.685.200.379,771.130.052.549,771.130.052.549,504685200379.0,504685200379.0,771130052549.0,771130052549.0
Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,190.954.869.801,190.954.869.801,322.515.111.660,322.515.111.660,190954869801.0,190954869801.0,322515111660.0,322515111660.0
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,33.373.032.590,33.373.032.590,20.520.253.105,20.520.253.105,33373032590.0,33373032590.0,20520253105.0,20520253105.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,280.357.297.988,280.357.297.988,428.094.687.784,428.094.687.784,280357297988.0,280357297988.0,428094687784.0,428094687784.0
b. Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 34),b. Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 34),b. Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 34),3.335.246.362.432,3.335.246.362.432,1.852.664.370.627,1.852.664.370.627,3335246362432.0,3335246362432.0,1852664370627.0,1852664370627.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,2.745.152.899.973,2.745.152.899.973,1.356.822.881.228,1.356.822.881.228,2745152899973.0,2745152899973.0,1356822881228.0,1356822881228.0
Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,297.305.301.642,297.305.301.642,167.481.923.278,167.481.923.278,297305301642.0,297305301642.0,167481923278.0,167481923278.0
Công ty Cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,242.978.676.252,242.978.676.252,297.047.550.473,297.047.550.473,242978676252.0,242978676252.0,297047550473.0,297047550473.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,49.809.484.565,49.809.484.565,31.312.015.648,31.312.015.648,49809484565.0,49809484565.0,31312015648.0,31312015648.0
,,,3.839.931.562.811,3.839.931.562.811,2.623.794.423.176,2.623.794.423.176,3839931562811.0,3839931562811.0,2623794423176.0,2623794423176.0
