row_label_raw,row_label_full,col_0,Năm nay,Từ ngày 01/7/2018 đến ngày 31/12/2018,numeric__Năm nay,numeric__Từ ngày 01/7/2018 đến ngày 31/12/2018
,,,VND,VND,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,2.197.375.267.639,387.947.674.090,2197375267639.0,387947674090.0
Điều chính lợi nhận kỳ trước,Điều chính lợi nhận kỳ trước,Điều chính lợi nhận kỳ trước,-,244.071.866.274,,244071866274.0
Điều chính cho thu nhập chịu thuế,Điều chính cho thu nhập chịu thuế,Điều chính cho thu nhập chịu thuế,,,,
Trừ: Thu nhập không chịu thuế,Điều chính cho thu nhập chịu thuế > Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,(14.265.866.248),(192.255.051.945),-14265866248.0,-192255051945.0
Cộng: Các khoản chi phí không được khấu trừ,Điều chính cho thu nhập chịu thuế > Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,1.922.636.360,1.755.929.035,1922636360.0,1755929035.0
Thu nhập chịu thuế năm nay/kỳ này,Điều chính cho thu nhập chịu thuế > Thu nhập chịu thuế năm nay/kỳ này,Thu nhập chịu thuế năm nay/kỳ này,2.185.032.037.751,441.520.417.454,2185032037751.0,441520417454.0
Thu nhập được miễn thuế thu nhập doanh nghiệp,Điều chính cho thu nhập chịu thuế > Thu nhập được miễn thuế thu nhập doanh nghiệp,Thu nhập được miễn thuế thu nhập doanh nghiệp,-,(98.416.068.967),,-98416068967.0
Thu nhập được giảm 50% thuế thu nhập doanh nghiệp,Điều chính cho thu nhập chịu thuế > Thu nhập được giảm 50% thuế thu nhập doanh nghiệp,Thu nhập được giảm 50% thuế thu nhập doanh nghiệp,1.793.301.116.188,456.786.156.742,1793301116188.0,456786156742.0
Thu nhập chịu thuế suất thông thường,Điều chính cho thu nhập chịu thuế > Thu nhập chịu thuế suất thông thường,Thu nhập chịu thuế suất thông thường,391.730.921.563,83.150.325.682,391730921563.0,83150325682.0
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,Điều chính cho thu nhập chịu thuế > Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,257.676.295.931,62.308.680.810,257676295931.0,62308680810.0
Điều chính theo biên bản quyết toán thuế 6 tháng đầu năm 2018,Điều chính cho thu nhập chịu thuế > Điều chính theo biên bản quyết toán thuế 6 tháng đầu năm 2018,Điều chính theo biên bản quyết toán thuế 6 tháng đầu năm 2018,-,(5.254.418),,-5254418.0
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,Điều chính cho thu nhập chịu thuế > Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,257.676.295.931,62.303.426.392,257676295931.0,62303426392.0
