row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,12.984.438.338.974,9.354.460.013.691,,100.0,,12984438338974.0,9354460013691.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,4.427.323.379.529,2.911.160.173.601,,110.0,4.0,4427323379529.0,2911160173601.0
1.,1.,1.,Tiền,111,,87.323.379.529,111.160.173.601,,111.0,,87323379529.0,111160173601.0
2.,2.,2.,Các khoản tương đương tiền,112,,4.340.000.000.000,2.800.000.000.000,,112.0,,4340000000000.0,2800000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,266.000.000.000,25.000.000.000,,120.0,5.0,266000000000.0,25000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,266.000.000.000,25.000.000.000,,123.0,,266000000000.0,25000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,7.114.859.623.160,4.936.823.684.879,,130.0,,7114859623160.0,4936823684879.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,7.197.201.963.812,4.415.702.739.671,,131.0,6.0,7197201963812.0,4415702739671.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,58.703.587.457,65.459.315.224,,132.0,7.0,58703587457.0,65459315224.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,272.094.735.805,470.457.008.094,,136.0,8.0,272094735805.0,470457008094.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(413.140.663.914),(14.795.378.110),,137.0,9.0,-413140663914.0,-14795378110.0
IV.,IV.,IV.,Hàng tồn kho,140,10,998.571.908.580,1.332.000.614.701,,140.0,10.0,998571908580.0,1332000614701.0
1.,1.,1.,Hàng tồn kho,141,,999.689.096.611,1.332.000.614.701,,141.0,,999689096611.0,1332000614701.0
