row_label_raw,row_label_full,Ông Hỗ Công Kỳ,Chủ tịch,numeric__Chủ tịch
Ông Lê Như Linh,Ông Lê Như Linh,Ông Lê Như Linh,Thành viên,
Ông Nguyễn Hữu Quý,Ông Nguyễn Hữu Quý,Ông Nguyễn Hữu Quý,Thành viên,
Ông Phạm Xuân Trường,Ông Phạm Xuân Trường,Ông Phạm Xuân Trường,Thành viên,
Bà Vũ Thị Tổ Nga,Bà Vũ Thị Tổ Nga,Bà Vũ Thị Tổ Nga,Thành viên (Bố nhiệm ngày 19 tháng 4 năm 2019),
Bà Nguyễn Hoàng Yến,Bà Nguyễn Hoàng Yến,Bà Nguyễn Hoàng Yến,Thành viên (Bố nhiệm ngày 19 tháng 4 năm 2019),
Ông Vũ Huy An,Ông Vũ Huy An,Ông Vũ Huy An,Thành viên (Nghĩ hưu ngày 01 tháng 02 năm 2019),
