row_label_raw,row_label_full,col_0,Năm nay,Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Năm nay,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018
,,,VND,VND,,
Bán hàng và cung cấp dịch vụ,Bán hàng và cung cấp dịch vụ,Bán hàng và cung cấp dịch vụ,234.017.818.700,108.840.897.585,234017818700.0,108840897585.0
Công ty Cổ phần Phân bón Đầu khí Cà Mau,Công ty Cổ phần Phân bón Đầu khí Cà Mau,Công ty Cổ phần Phân bón Đầu khí Cà Mau,231.715.297.107,107.580.232.718,231715297107.0,107580232718.0
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,960.561.832,863.006.116,960561832.0,863006116.0
Công ty Cổ phần Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,790.876.610,-,790876610.0,
Công ty Cổ phần Thủy điện Đakdrinh,Công ty Cổ phần Thủy điện Đakdrinh,Công ty Cổ phần Thủy điện Đakdrinh,551.083.151,-,551083151.0,
Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,-,328.522.389,,328522389.0
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,-,69.136.362,,69136362.0
Mua hàng,Mua hàng,Mua hàng,10.680.648.171.246,5.241.612.463.590,10680648171246.0,5241612463590.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,6.791.847.432.364,3.478.976.257.969,6791847432364.0,3478976257969.0
Công ty Vận chuyển khí Đông Nam Bộ,Công ty Vận chuyển khí Đông Nam Bộ,Công ty Vận chuyển khí Đông Nam Bộ,3.543.102.183.509,1.546.986.255.534,3543102183509.0,1546986255534.0
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,150.064.148.092,165.993.767.438,150064148092.0,165993767438.0
Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,127.174.474.466,23.349.417.626,127174474466.0,23349417626.0
Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,23.795.113.835,964.183.900,23795113835.0,964183900.0
Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,17.367.165.883,10.481.560.451,17367165883.0,10481560451.0
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,13.841.244.217,9.133.273.577,13841244217.0,9133273577.0
Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí - Công ty Cổ phần,Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí - Công ty Cổ phần,Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí - Công ty Cổ phần,13.456.408.880,4.181.541.350,13456408880.0,4181541350.0
Ban Quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch,Ban Quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch,Ban Quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch,-,1.546.205.745,,1546205745.0
Lãi tiên gửi,Lãi tiên gửi,Lãi tiên gửi,26.795.957.721,2.008.428.771,26795957721.0,2008428771.0
Ngân hàng Thương mại Cổ phần Đại chủng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chủng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chủng Việt Nam,26.795.957.721,2.008.428.771,26795957721.0,2008428771.0
Chỉ phí lãi vay,Chỉ phí lãi vay,Chỉ phí lãi vay,151.412.805.129,82.249.328.638,151412805129.0,82249328638.0
Ngân hàng Thương mại Cổ phần Đại chủng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chủng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chủng Việt Nam,151.412.805.129,82.249.328.638,151412805129.0,82249328638.0
Cổ tức,Cổ tức,Cổ tức,14.266.450.500,153.833.472.000,14266450500.0,153833472000.0
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,7.290.450.000,-,7290450000.0,
Công ty Cổ phần Máy - Thiết bị Dầu khí,Công ty Cổ phần Máy - Thiết bị Dầu khí,Công ty Cổ phần Máy - Thiết bị Dầu khí,6.976.000.500,-,6976000500.0,
Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,-,153.833.472.000,,153833472000.0
Nộp lợi nhuận giai đoạn trước cổ phần hóa,Nộp lợi nhuận giai đoạn trước cổ phần hóa,Nộp lợi nhuận giai đoạn trước cổ phần hóa,633.471.367.387,-,633471367387.0,
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,633.471.367.387,-,633471367387.0,
Thu nhập của Ban Tổng Giám đốc,Thu nhập của Ban Tổng Giám đốc,Thu nhập của Ban Tổng Giám đốc,19.200.065.882,8.029.704.037,19200065882.0,8029704037.0
Phí bảo lãnh khoản vay,Phí bảo lãnh khoản vay,Phí bảo lãnh khoản vay,1.519.282.697,584.705.455,1519282697.0,584705455.0
Công ty Cổ phần Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,1.169.410.909,584.705.455,1169410909.0,584705455.0
Công ty Cổ phần Thủy điện Đakdrinh,Công ty Cổ phần Thủy điện Đakdrinh,Công ty Cổ phần Thủy điện Đakdrinh,349.871.788,-,349871788.0,
