row_label_raw,row_label_full,col_0,CHỈ TIÊU,MÃ số,Năm nay,Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__CHỈ TIÊU,numeric__MÃ số,numeric__Năm nay,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018
I.,I.,I.,LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,2.197.375.267.639,387.947.674.090,,1.0,2197375267639.0,387947674090.0
2.,2.,2.,Đĩầu chính cho các khoản:,Đĩầu chính cho các khoản:,Đĩầu chính cho các khoản:,Đĩầu chính cho các khoản:,,,,
2.,2. > 2.,2.,Khẩu hao tài sản cố định,02,1.940.089.676.326,1.311.419.640.837,,2.0,1940089676326.0,1311419640837.0
2.,2. > 2.,2.,Các khoản dự phòng,03,748.812.949.410,(252.532.422.399),,3.0,748812949410.0,-252532422399.0
2.,2. > 2.,2.,(Lãi)/lỗ chênh lệch tỷ giá hồi doái do đánh giá lợi các khoản mục tiền tệ có gốc ngoại tệ,04,(11.009.041.879),94.739.627.835,,4.0,-11009041879.0,94739627835.0
2.,2. > 2.,2.,Lãi từ hoạt động đầu tư,05,(206.725.638.464),(256.309.500.868),,5.0,-206725638464.0,-256309500868.0
2.,2. > 2.,2.,Chỉ phí lãi vay,06,759.689.784.304,446.604.436.239,,6.0,759689784304.0,446604436239.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,08,5.428.232.997.336,1.731.869.455.734,,8.0,5428232997336.0,1731869455734.0
3.,2. > 3.,3.,Thay đối các khoản phải thu,09,(3.543.142.937.130),1.769.425.927.622,,9.0,-3543142937130.0,1769425927622.0
3.,2. > 3.,3.,Thay đối hàng tồn kho,10,352.943.555.313,(417.908.922.886),,10.0,352943555313.0,-417908922886.0
3.,2. > 3.,3.,"Thay đối các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,1.597.499.568.971,(190.636.774.454),,11.0,1597499568971.0,-190636774454.0
3.,2. > 3.,3.,Thay đối chỉ phí trả trước,12,87.560.868.578,(18.828.492.360),,12.0,87560868578.0,-18828492360.0
3.,2. > 3.,3.,Tiền lãi vay đã trả,14,(800.971.793.924),(473.689.175.555),,14.0,-800971793924.0,-473689175555.0
3.,2. > 3.,3.,Thuế thu nhập doanh nghiệp đã nộp,15,(274.820.215.452),(42.191.225.457),,15.0,-274820215452.0,-42191225457.0
3.,2. > 3.,3.,Tiền chỉ khác cho hoạt động kinh doanh,17,(74.688.577.509),(14.363.517.360),,17.0,-74688577509.0,-14363517360.0
3.,2. > 3.,3.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,2.772.613.466.183,2.343.677.275.284,,20.0,2772613466183.0,2343677275284.0
II.,II.,II.,LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chỉ mua sãm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,(105.305.329.506),(35.589.533.450),,21.0,-105305329506.0,-35589533450.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,1.521.099.725,-,,22.0,1521099725.0,
3.,II. > 3.,3.,"Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác",23,(241.000.000.000),-,,23.0,-241000000000.0,
4.,II. > 4.,4.,Tiền chỉ đầu tư góp vốn vào đơn vị khác,25,(137.234.800.000),-,,25.0,-137234800000.0,
5.,II. > 5.,5.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,81.436.000.000,-,,26.0,81436000000.0,
6.,II. > 6.,6.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,371.235.163.472,793.931.850.261,,27.0,371235163472.0,793931850261.0
6.,II. > 6.,6.,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(29.347.866.309),758.342.316.811,,30.0,-29347866309.0,758342316811.0
