row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp/ thu trong năm,Số đã thực nộp/ thu trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp/ thu trong năm,numeric__Số đã thực nộp/ thu trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,1.000.000,1.000.000,-,-,1000000.0,1000000.0,,
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,1.000.000,1.000.000,-,-,1000000.0,1000000.0,,
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,8.117.669.187,594.558.896.697,561.758.512.670,40.918.053.214,8117669187.0,594558896697.0,561758512670.0,40918053214.0
Thuế xuất nhập khẩu,b. Các khoản phải trả > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,2.342.480.302,2.342.480.302,-,,2342480302.0,2342480302.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,63.258.781.783,257.676.295.931,274.820.215.452,46.114.862.262,63258781783.0,257676295931.0,274820215452.0,46114862262.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.759.089.718,31.071.743.893,34.231.154.949,5.599.678.662,8759089718.0,31071743893.0,34231154949.0,5599678662.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,7.762.971.805,70.743.763.548,74.415.427.844,4.091.307.509,7762971805.0,70743763548.0,74415427844.0,4091307509.0
,,,87.898.512.493,956.393.180.371,947.567.791.217,96.723.901.647,87898512493.0,956393180371.0,947567791217.0,96723901647.0
