row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Giá bán bình quân VND/đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lãi bản chủng khoán năm nay VND,Lãi bản chủng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Giá bán bình quân VND/đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lãi bản chủng khoán năm nay VND,numeric__Lãi bản chủng khoán năm trước VND
1,1,1,LÃI BÁN,LÃI BÁN,LÃI BÁN,LÃI BÁN,LÃI BÁN,LÃI BÁN,LÃI BÁN,,,,,,,
1,1 > 1,1,Cổ phiếu và CCQ niêm yết,27.992.559,,981.430.332.539,750.927.050.581,230.503.281.958,129.772.544.897,,27992559.0,,981430332539.0,750927050581.0,230503281958.0,129772544897.0
1,1 > 1,1,PLX,4.340.550,81.319,352.970.451.000,211.622.053.837,141.348.397.163,20.621.967.621,,4340550.0,81319.0,352970451000.0,211622053837.0,141348397163.0,20621967621.0
1,1 > 1,1,SSC,1.633.613,67.070,109.566.513.857,89.053.771.363,20.512.742.494,18.117.036.414,,1633613.0,67070.0,109566513857.0,89053771363.0,20512742494.0,18117036414.0
1,1 > 1,1,CTD,756.280,152.064,115.003.313.000,105.685.326.652,9.317.986.348,13.782.804.000,,756280.0,152064.0,115003313000.0,105685326652.0,9317986348.0,13782804000.0
1,1 > 1,1,HPG,1.747.580,45.885,80.188.038.000,70.896.121.979,9.291.916.021,25.393.618.652,,1747580.0,45885.0,80188038000.0,70896121979.0,9291916021.0,25393618652.0
1,1 > 1,1,MBB,300.000,21.774,6.532.288.500,6.092.809.208,439.479.292,2.241.562.296,,300000.0,21774.0,6532288500.0,6092809208.0,439479292.0,2241562296.0
1,1 > 1,1,FPT,55.020,60.727,3.341.206.000,3.077.440.958,263.765.042,20.939.985.375,,55020.0,60727.0,3341206000.0,3077440958.0,263765042.0,20939985375.0
1,1 > 1,1,Cổ phiếu và CCQ niêm yết khác,19.159.516,,313.828.522.182,264.499.526.584,49.328.995.598,28.675.570.539,,19159516.0,,313828522182.0,264499526584.0,49328995598.0,28675570539.0
2,1 > 2,2,Cổ phiếu chưa niêm yết và khác,1.300.000,,31.920.000.000,27.900.000.000,4.020.000.000,31.392.777.999,,1300000.0,,31920000000.0,27900000000.0,4020000000.0,31392777999.0
3,1 > 3,3,Trải phiếu niêm yết,33.000.000,,3.718.315.700.000,3.687.978.872.727,30.336.827.273,41.082.840.274,,33000000.0,,3718315700000.0,3687978872727.0,30336827273.0,41082840274.0
3,1 > 3,3,TP_TD1825102,3.000.000,105.600,316.798.500.000,309.078.500.000,7.720.000.000,-,,3000000.0,105600.0,316798500000.0,309078500000.0,7720000000.0,
3,1 > 3,3,TP_TD1823088,4.000.000,99.071,396.284.000.000,391.286.172.727,4.997.827.273,-,,4000000.0,99071.0,396284000000.0,391286172727.0,4997827273.0,
3,1 > 3,3,TP_TL1535300,3.500.000,137.843,482.449.500.000,478.250.000.000,4.199.500.000,1.382.000.000,,3500000.0,137843.0,482449500000.0,478250000000.0,4199500000.0,1382000000.0
3,1 > 3,3,TP_TD1621470,7.000.000,109.132,763.924.000.000,759.990.000.000,3.934.000.000,-,,7000000.0,109132.0,763924000000.0,759990000000.0,3934000000.0,
3,1 > 3,3,Trải phiếu niêm yết khác,15.500.000,,1.758.859.700.000,1.749.374.200.000,9.485.500.000,39.700.840.274,,15500000.0,,1758859700000.0,1749374200000.0,9485500000.0,39700840274.0
4,1 > 4,4,Trải phiếu chưa niêm yết và CCTG,163.622,,9.325.754.444.461,9.285.101.260.189,40.653.184.272,55.355.877.800,,163622.0,,9325754444461.0,9285101260189.0,40653184272.0,55355877800.0
5,1 > 5,5,Lãi vị thế của hợp đồng CKPS,,,,,3.747.190.000,638.065.000,,,,,,3747190000.0,638065000.0
,,,Tổng cộng,62.456.181,,14.057.420.477.000,13.751.907.183.497,309.260.483.503,258.242.105.970,,62456181.0,,14057420477000.0,13751907183497.0,309260483503.0,258242105970.0
