row_label_raw,row_label_full,Các khoản đầu tư nằm giữ đến ngày đáo hạn > - Tiền gửi và chứng chỉ tiến gửi có kỹ hạn cón lai trên 1 năm (1) > - Trái phiếu nằm giữ đến ngày đáo hạn,Tỷ lệ biểu quyết của Công ty,Tỷ lệ sở hữu của Công ty,Số cuối năm VND > 301.622.077.596 > -,Số đầu năm VND > 130.424.472.600 > 80.407.742.840 > 50.016.729.760,numeric__Tỷ lệ biểu quyết của Công ty,numeric__Tỷ lệ sở hữu của Công ty,numeric__Số cuối năm VND > 301.622.077.596 > -,numeric__Số đầu năm VND > 130.424.472.600 > 80.407.742.840 > 50.016.729.760
"Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)","Đầu tư vào công ty liên doanh, liên kết (2)",,,764.280.760.972,812.945.220.865,,,764280760972.0,812945220865.0
- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),- Công ty Cổ phần Tập đoàn PAN (PAN),"20,00%","19,93%",764.280.760.972,559.300.480.680,0.2,0.1993,764280760972.0,559300480680.0
- Công ty Cổ phần Cảng Đồng Nai (PDN),- Công ty Cổ phần Cảng Đồng Nai (PDN),- Công ty Cổ phần Cảng Đồng Nai (PDN),-,-,-,83.455.067.730,,,,83455067730.0
- Công ty Cổ phần Khử Trùng Việt Nam (VFG),- Công ty Cổ phần Khử Trùng Việt Nam (VFG),- Công ty Cổ phần Khử Trùng Việt Nam (VFG),-,-,-,170.189.672.455,,,,170189672455.0
Tổng cộng,Tổng cộng,Tổng cộng,,,1.065.902.838.568,943.369.693.465,,,1065902838568.0,943369693465.0
