row_label_raw,row_label_full,col_0,Vốn góp củachủ sở nêuVND,Thặng dư vocation có phânVND,Quyền chơnchuyên đối triậphêu – Cầuphân vốnVND,Cô phiếu quỹVND,Chênh lệch dànhgia lại tài sản theogeá trị hợp lýVND,Chênh lệchtỷ giáVND,Quỹ dự trữ bổsung vốn điều MiamiVND,Quỹ dự phòng tài chính và rơi ronghiệp vưVND,Lợi nhuận chuaphân phốiVND,Lợi ích cố độngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở nêuVND,numeric__Thặng dư vocation có phânVND,numeric__Quyền chơnchuyên đối triậphêu – Cầuphân vốnVND,numeric__Cô phiếu quỹVND,numeric__Chênh lệch dànhgia lại tài sản theogeá trị hợp lýVND,numeric__Chênh lệchtỷ giáVND,numeric__Quỹ dự trữ bổsung vốn điều MiamiVND,numeric__Quỹ dự phòng tài chính và rơi ronghiệp vưVND,numeric__Lợi nhuận chuaphân phốiVND,numeric__Lợi ích cố độngkhông kiểm soátVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,5.000.636.840.000,29.482.756.034,,(2.240.614.834),637.896.244.067,33.179.513.213,355.412.398.796,270.904.804.112,2.212.624.960.292,78.352.794.222,8.616.249.695.902,5000636840000.0,29482756034.0,,-2240614834.0,637896244067.0,33179513213.0,355412398796.0,270904804112.0,2212624960292.0,78352794222.0,8616249695902.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,-,-,-,1.302.937.242.558,,1.302.937.242.558,,,,,,,,,1302937242558.0,,1302937242558.0
Phát hành cố phiếu tăng vốntheo Nghị quyết EHDCD,Phát hành cố phiếu tăng vốntheo Nghị quyết EHDCD,Phát hành cố phiếu tăng vốntheo Nghị quyết EHDCD,100.000.000.000,,-,-,-,-,-,-,-,-,100.000.000.000,100000000000.0,,,,,,,,,,100000000000.0
Cổ tức bằng tiền năm 2017,Cổ tức bằng tiền năm 2017,Cổ tức bằng tiền năm 2017,-,-,-,-,-,-,-,-,(499.170.330.000),,(499.170.330.000),,,,,,,,,-499170330000.0,,-499170330000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,-,124.000.000,,124.000.000,,,,,,,,,124000000.0,,124000000.0
Chi phí phát hành cố phíbulletàng vốn,Chi phí phát hành cố phíbulletàng vốn,Chi phí phát hành cố phíbulletàng vốn,-,(12.000.000),-,-,-,-,-,-,-,-,(12.000.000),,-12000000.0,,,,,,,,,-12000000.0
Mua cố phiếu quỹ,Mua cố phiếu quỹ,Mua cố phiếu quỹ,-,-,-,(6.493.124.050),-,-,-,-,-,-,(6.493.124.050),,,,-6493124050.0,,,,,,,-6493124050.0
Đánh giá lại TSTC AFS,Đánh giá lại TSTC AFS,Đánh giá lại TSTC AFS,-,-,-,-,(360.095.225.041),-,-,-,-,-,(360.095.225.041),,,,,-360095225041.0,,,,,,-360095225041.0
Trích quỹ dự trữ bổ sung vốnđiều lẻ 5% LNST theo NghịQuyết EHDCD,Trích quỹ dự trữ bổ sung vốnđiều lẻ 5% LNST theo NghịQuyết EHDCD,Trích quỹ dự trữ bổ sung vốnđiều lẻ 5% LNST theo NghịQuyết EHDCD,-,-,-,-,-,-,56.644.766.511,-,(56.644.766.511),,-,,,,,,,56644766511.0,,-56644766511.0,,
Trích quỹ dự phòng tài chínhvà nữ ro nghiệp vụ 5% LNSTtheo Nghị Quyết EHDCD,Trích quỹ dự phòng tài chínhvà nữ ro nghiệp vụ 5% LNSTtheo Nghị Quyết EHDCD,Trích quỹ dự phòng tài chínhvà nữ ro nghiệp vụ 5% LNSTtheo Nghị Quyết EHDCD,-,-,-,-,-,-,-,56.644.766.511,(56.644.766.511),,-,,,,,,,,56644766511.0,-56644766511.0,,
"Trích quỹ từ thiên, quỹ phúcloi và khen thưởng theo NghịQuyết EHDCD","Trích quỹ từ thiên, quỹ phúcloi và khen thưởng theo NghịQuyết EHDCD","Trích quỹ từ thiên, quỹ phúcloi và khen thưởng theo NghịQuyết EHDCD",-,-,-,-,-,-,-,-,(79.302.673.115),,(79.302.673.115),,,,,,,,,-79302673115.0,,-79302673115.0
Phát hành trải phiếu chuyênđối theo Nghị quyết EHDCD,Phát hành trải phiếu chuyênđối theo Nghị quyết EHDCD,Phát hành trải phiếu chuyênđối theo Nghị quyết EHDCD,-,-,113.779.095.785,-,-,-,-,-,-,-,113.779.095.785,,,113779095785.0,,,,,,,,113779095785.0
Chênh lệch tỷ gia do chuyểnđối bảo cáo tài chính SSIC,Chênh lệch tỷ gia do chuyểnđối bảo cáo tài chính SSIC,Chênh lệch tỷ gia do chuyểnđối bảo cáo tài chính SSIC,-,-,-,-,-,7.858.525.912,-,-,-,-,7.858.525.912,,,,,,7858525912.0,,,,,7858525912.0
Chênh lệch do công ty liệnkết thay đổi tỷ lệ đầu tư vảocộng ty con của công ty liệnkết,Chênh lệch do công ty liệnkết thay đổi tỷ lệ đầu tư vảocộng ty con của công ty liệnkết,Chênh lệch do công ty liệnkết thay đổi tỷ lệ đầu tư vảocộng ty con của công ty liệnkết,-,-,-,-,-,-,-,-,(24.489.167.763),,(24.489.167.763),,,,,,,,,-24489167763.0,,-24489167763.0
Chênh lệch do công ty liệnkết thay đổi số lượng cốphiếu lưu hành,Chênh lệch do công ty liệnkết thay đổi số lượng cốphiếu lưu hành,Chênh lệch do công ty liệnkết thay đổi số lượng cốphiếu lưu hành,-,-,-,-,-,-,-,-,(8.321.512.555),,(8.321.512.555),,,,,,,,,-8321512555.0,,-8321512555.0
Giảm vốn góp của cố đôngthêu số,Giảm vốn góp của cố đôngthêu số,Giảm vốn góp của cố đôngthêu số,-,-,-,-,-,-,-,-,-,(9.400.000.000),(9.400.000.000),,,,,,,,,,-9400000000.0,-9400000000.0
