row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng (1) VND,Tự doanh VND,Kinh doanh nguồn vốn VND,Quản lý danh mục VND,Ngân hàng đầu tư và các bộ phận khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng (1) VND,numeric__Tự doanh VND,numeric__Kinh doanh nguồn vốn VND,numeric__Quản lý danh mục VND,numeric__Ngân hàng đầu tư và các bộ phận khác VND,numeric__Tổng cộng VND
Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,Năm 2018,,,,,,
1. Doanh thu thuần hoạt động kinh doanh chứng khoán,Năm 2018 > 1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1. Doanh thu thuần hoạt động kinh doanh chứng khoán,1.893.605.019.876,1.092.899.742.557,759.144.046.466,65.515.558.197,185.915.339.550,3.997.079.706.646,1893605019876.0,1092899742557.0,759144046466.0,65515558197.0,185915339550.0,3997079706646.0
2. Các chi phí trực tiếp,Năm 2018 > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,1.022.741.177.595,708.573.024.444,378.074.479.321,20.506.811.552,70.287.104.536,2.200.182.597.448,1022741177595.0,708573024444.0,378074479321.0,20506811552.0,70287104536.0,2200182597448.0
3. Khẩu hao và các chi phí phân bổ,Năm 2018 > 3. Khẩu hao và các chi phí phân bổ,3. Khẩu hao và các chi phí phân bổ,109.420.696.503,22.578.873.881,13.894.691.620,6.947.345.809,20.842.037.430,173.683.645.243,109420696503.0,22578873881.0,13894691620.0,6947345809.0,20842037430.0,173683645243.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Năm 2018 > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,761.443.145.778,361.747.844.232,367.174.875.525,38.061.400.836,94.786.197.584,1.623.213.463.955,761443145778.0,361747844232.0,367174875525.0,38061400836.0,94786197584.0,1623213463955.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,,,,,,
1. Tài sản bộ phận,Số dư tại ngày 31 tháng 12 năm 2018 > 1. Tài sản bộ phận,1. Tài sản bộ phận,5.972.332.012.656,4.291.466.758.057,12.914.276.614.602,39.891.225.087,10.749.982.228,23.228.716.592.630,5972332012656.0,4291466758057.0,12914276614602.0,39891225087.0,10749982228.0,23228716592630.0
2. Tài sản phân bổ,Số dư tại ngày 31 tháng 12 năm 2018 > 2. Tài sản phân bổ,2. Tài sản phân bổ,135.271.921.447,27.913.253.632,17.177.386.850,8.588.693.425,25.766.080.276,214.717.335.630,135271921447.0,27913253632.0,17177386850.0,8588693425.0,25766080276.0,214717335630.0
3. Tài sản không phân bổ,Số dư tại ngày 31 tháng 12 năm 2018 > 3. Tài sản không phân bổ,3. Tài sản không phân bổ,-,-,-,-,-,382.192.797.101,,,,,,382192797101.0
Tổng tài sản,Số dư tại ngày 31 tháng 12 năm 2018 > Tổng tài sản,Tổng tài sản,6.107.603.934.103,4.319.380.011.689,12.931.454.001.452,48.479.918.512,36.516.062.504,23.825.626.725.361,6107603934103.0,4319380011689.0,12931454001452.0,48479918512.0,36516062504.0,23825626725361.0
4. Nợ phải trả bộ phận,Số dư tại ngày 31 tháng 12 năm 2018 > 4. Nợ phải trả bộ phận,4. Nợ phải trả bộ phận,2.255.715.036.430,683.544.626.967,11.291.790.838.923,3.295.227.159,10.079.545.261,14.244.425.274.740,2255715036430.0,683544626967.0,11291790838923.0,3295227159.0,10079545261.0,14244425274740.0
5. Nợ phân bổ,Số dư tại ngày 31 tháng 12 năm 2018 > 5. Nợ phân bổ,5. Nợ phân bổ,163.148.933.676,33.665.652.981,20.717.324.911,10.358.662.456,31.075.987.367,258.966.561.391,163148933676.0,33665652981.0,20717324911.0,10358662456.0,31075987367.0,258966561391.0
6. Nợ không phân bổ,Số dư tại ngày 31 tháng 12 năm 2018 > 6. Nợ không phân bổ,6. Nợ không phân bổ,-,-,-,-,-,166.570.361.598,,,,,,166570361598.0
Tổng công nợ,Số dư tại ngày 31 tháng 12 năm 2018 > Tổng công nợ,Tổng công nợ,2.418.863.970.106,717.210.279.948,11.312.508.163.834,13.653.889.615,41.155.532.628,14.669.962.197.728,2418863970106.0,717210279948.0,11312508163834.0,13653889615.0,41155532628.0,14669962197728.0
