row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
200,200,200,B. TÀI SẢN DÀI HẠN,,1.555.269.509.433,1.536.392.023.519,,,1555269509433.0,1536392023519.0
210,210,210,I. Tài sản tài chính dài hạn,,1.065.902.838.568,943.369.693.465,,,1065902838568.0,943369693465.0
212,212,212,1. Các khoản đầu tư,11,1.065.902.838.568,943.369.693.465,,11.0,1065902838568.0,943369693465.0
212.1,212.1,212.1,1.1. Các khoản đầu tư nằm giữ đến ngày đáo hạn,,301.622.077.596,130.424.472.600,,,301622077596.0,130424472600.0
212.3,212.3,212.3,"1.2. Đầu tư vào công ty liên doanh, liên kết",,764.280.760.972,812.945.220.865,,,764280760972.0,812945220865.0
220,220,220,II. Tài sản cố định,,118.742.648.730,161.101.323.414,,,118742648730.0,161101323414.0
221,221,221,1. Tài sản cố định hữu hình,12,84.097.724.124,32.942.324.482,,12.0,84097724124.0,32942324482.0
222,222,222,1.1. Nguyên giá,,175.652.952.614,115.198.707.424,,,175652952614.0,115198707424.0
223a,223a,223a,1.2. Giá trị khấu hao lũy kế,,(91.555.228.490),(82.256.382.942),,,-91555228490.0,-82256382942.0
227,227,227,2. Tài sản cố định vô hình,13,34.644.924.606,128.158.998.932,,13.0,34644924606.0,128158998932.0
228,228,228,2.1. Nguyên giá,,101.372.221.724,186.932.181.501,,,101372221724.0,186932181501.0
229a,229a,229a,2.2. Giá trị hao mòn lũy kế,,(66.727.297.118),(58.773.182.569),,,-66727297118.0,-58773182569.0
230,230,230,III. Bất động sản đầu tư,14,214.561.642.609,218.230.726.962,,14.0,214561642609.0,218230726962.0
231,231,231,1. Nguyên giá,,278.818.031.178,272.917.757.575,,,278818031178.0,272917757575.0
232a,232a,232a,2. Giá trị khấu hao lũy kế,,(64.256.388.569),(54.687.030.613),,,-64256388569.0,-54687030613.0
240,240,240,IV. Chi phí xây dựng cơ bản dở dang,15,4.923.184.107,47.154.474.755,,15.0,4923184107.0,47154474755.0
250,250,250,V. Tài sản dài hạn khác,,151.139.195.419,166.535.804.923,,,151139195419.0,166535804923.0
251,251,251,"1. Cảm cố, thể chấp, ký quỹ, ký cược dài hạn",,23.978.605.906,19.416.533.466,,,23978605906.0,19416533466.0
252,252,252,2. Chỉ phí trả trước dài hạn,16,40.312.468.926,35.571.900.952,,16.0,40312468926.0,35571900952.0
253,253,253,3. Tài sản thuê thu nhập hoãn lại,17,51.848.120.587,76.547.370.505,,17.0,51848120587.0,76547370505.0
254,254,254,4. Tiền nộp Quỹ Hỗ trợ thanh toán,18,20.000.000.000,20.000.000.000,,18.0,20000000000.0,20000000000.0
255,255,255,5. Tài sản dài hạn khác,,15.000.000.000,15.000.000.000,,,15000000000.0,15000000000.0
270,270,270,TỔNG CỘNG TÀI SẢN,,23.825.626.725.361,18.764.375.171.848,,,23825626725361.0,18764375171848.0
