row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Giá trị hợp lý VND,Số đầu năm > Giá gốc VND,Số đầu năm > Giá trị hợp lý VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Giá trị hợp lý VND
Cổ phiếu và CCQ niêm yết,Cổ phiếu và CCQ niêm yết,Cổ phiếu và CCQ niêm yết,1.611.962.128.767,1.371.412.475.370,1.112.681.613.424,1.138.043.211.380,1611962128767.0,1371412475370.0,1112681613424.0,1138043211380.0
GEX,GEX,GEX,276.761.361.866,217.207.440.750,4.693.285,6.349.500,276761361866.0,217207440750.0,4693285.0,6349500.0
DBC,DBC,DBC,253.132.982.078,227.429.176.000,251.330.479.988,254.267.187.300,253132982078.0,227429176000.0,251330479988.0,254267187300.0
ELC,ELC,ELC,191.789.331.478,68.215.027.200,204.171.484.764,128.615.243.800,191789331478.0,68215027200.0,204171484764.0,128615243800.0
FPT,FPT,FPT,190.787.384.353,169.652.186.800,66.533.044.267,65.851.317.300,190787384353.0,169652186800.0,66533044267.0,65851317300.0
TMS,TMS,TMS,164.303.643.459,174.863.373.000,-,-,164303643459.0,174863373000.0,,
OPC,OPC,OPC,163.962.651.004,169.413.760.000,-,-,163962651004.0,169413760000.0,,
HPG,HPG,HPG,117.763.041.323,102.632.180.800,21.461.319.460,30.578.713.900,117763041323.0,102632180800.0,21461319460.0,30578713900.0
PLX,PLX,PLX,70.261.715.727,67.150.258.000,180.274.333.463,290.288.850.000,70261715727.0,67150258000.0,180274333463.0,290288850000.0
Cổ phiếu và CCQ niêm yết khác,Cổ phiếu và CCQ niêm yết khác,Cổ phiếu và CCQ niêm yết khác,183.200.017.479,174.849.072.820,388.906.258.197,368.435.549.580,183200017479.0,174849072820.0,388906258197.0,368435549580.0
Cổ phiếu và CCQ chưa niêm yết,Cổ phiếu và CCQ chưa niêm yết,Cổ phiếu và CCQ chưa niêm yết,120.582.017.570,112.889.392.928,105.931.465.352,88.374.404.720,120582017570.0,112889392928.0,105931465352.0,88374404720.0
CCQ SSIBF,CCQ SSIBF,CCQ SSIBF,40.000.000.000,44.449.000.000,40.000.000.000,41.600.600.000,40000000000.0,44449000000.0,40000000000.0,41600600000.0
CCQ SSISCA,CCQ SSISCA,CCQ SSISCA,26.500.000.000,33.915.293.454,26.500.000.000,38.567.128.950,26500000000.0,33915293454.0,26500000000.0,38567128950.0
CTCP Xây dựng Công nghiệp Descon,CTCP Xây dựng Công nghiệp Descon,CTCP Xây dựng Công nghiệp Descon,17.456.571.492,-,17.456.571.492,8.182.129.000,17456571492.0,,17456571492.0,8182129000.0
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,36.625.446.078,34.525.099.474,21.974.893.860,24.546.770,36625446078.0,34525099474.0,21974893860.0,24546770.0
Trải phiếu chưa niêm yết,Trải phiếu chưa niêm yết,Trải phiếu chưa niêm yết,560.731.951.620,555.683.951.620,204.725.480.000,204.725.480.000,560731951620.0,555683951620.0,204725480000.0,204725480000.0
Tổng cộng,Tổng cộng,Tổng cộng,2.293.276.097.957,2.039.985.819.918,1.423.338.558.776,1.431.143.096.100,2293276097957.0,2039985819918.0,1423338558776.0,1431143096100.0
