row_label_raw,row_label_full,col_0,Nhà và đất VND,numeric__Nhà và đất VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 1 tháng 1 năm 2018,Nguyên giá > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,272.917.757.575,272917757575.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.900.273.603,5900273603.0
- Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,Nguyên giá > - Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,- Đánh giá lại tỷ giá khi chuyển đổi báo cáo công ty con,5.900.273.603,5900273603.0
Ngày 31 tháng 12 năm 2018,Nguyên giá > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,278.818.031.178,278818031178.0
Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,
Ngày 1 tháng 1 năm 2018,Khẩu hao lũy kế > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,54.687.030.613,54687030613.0
Tăng trong năm,Khẩu hao lũy kế > Tăng trong năm,Tăng trong năm,9.569.357.956,9569357956.0
- Khẩu hao trong năm,Khẩu hao lũy kế > - Khẩu hao trong năm,- Khẩu hao trong năm,8.333.462.393,8333462393.0
- Chênh lệch tỷ giá khi chuyển đổi báo cáo công ty con,Khẩu hao lũy kế > - Chênh lệch tỷ giá khi chuyển đổi báo cáo công ty con,- Chênh lệch tỷ giá khi chuyển đổi báo cáo công ty con,1.235.895.563,1235895563.0
Ngày 31 tháng 12 năm 2018,Khẩu hao lũy kế > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,64.256.388.569,64256388569.0
Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,Giả trị còn lại,
Ngày 1 tháng 1 năm 2018,Giả trị còn lại > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,218.230.726.962,218230726962.0
Ngày 31 tháng 12 năm 2018,Giả trị còn lại > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,214.561.642.609,214561642609.0
