row_label_raw,row_label_full,col_0,Chỉ số năm 2018,Chỉ số năm 2017,numeric__Chỉ số năm 2018,numeric__Chỉ số năm 2017
Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,Cơ cấu tài sản,,
Tài sản ngắn hạn/ Tổng tài sản,Cơ cấu tài sản > Tài sản ngắn hạn/ Tổng tài sản,Tài sản ngắn hạn/ Tổng tài sản,"93,47%","91,81%",0.9347,0.9181
Tài sản dài hạn/ Tổng tài sản,Cơ cấu tài sản > Tài sản dài hạn/ Tổng tài sản,Tài sản dài hạn/ Tổng tài sản,"6,53%","8,19%",0.0653,0.0819
Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,Cơ cấu nguồn vốn,,
Nợ phải trả/ Tổng tài sản,Cơ cấu nguồn vốn > Nợ phải trả/ Tổng tài sản,Nợ phải trả/ Tổng tài sản,"61,57%","54,08%",0.6157,0.5408
Nguồn vốn chủ sở hữu/ Tổng tài sản,Cơ cấu nguồn vốn > Nguồn vốn chủ sở hữu/ Tổng tài sản,Nguồn vốn chủ sở hữu/ Tổng tài sản,"38,43%","45,92%",0.3843,0.4592
Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,Tỷ suất lợi nhuận,,
Lợi nhuận sau thuế/ Tổng tài sản (ROA),Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Tổng tài sản (ROA),Lợi nhuận sau thuế/ Tổng tài sản (ROA),"5,47%","6,19%",0.0547,0.061900000000000004
Lợi nhuận sau thuế/ Nguyễn vốn chủ sở hữu (ROE),Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Nguyễn vốn chủ sở hữu (ROE),Lợi nhuận sau thuế/ Nguyễn vốn chủ sở hữu (ROE),"14,34%","13,60%",0.1434,0.136
Lợi nhuận sau thuế/ Vốn điều lệ,Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Vốn điều lệ,Lợi nhuận sau thuế/ Vốn điều lệ,"25,54%","23,22%",0.2554,0.2322
Lợi nhuận sau thuế/ Doanh thu thuần,Tỷ suất lợi nhuận > Lợi nhuận sau thuế/ Doanh thu thuần,Lợi nhuận sau thuế/ Doanh thu thuần,"33,08%","38,15%",0.3308,0.3815
Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,Khả năng thanh toán,,
Chỉ số thanh toán hiện hành (Tài sản lưu động/ Nợ ngắn hạn),Khả năng thanh toán > Chỉ số thanh toán hiện hành (Tài sản lưu động/ Nợ ngắn hạn),Chỉ số thanh toán hiện hành (Tài sản lưu động/ Nợ ngắn hạn),"1,65","1,84",1.65,1.84
Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/ Nợ ngắn hạn),Khả năng thanh toán > Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/ Nợ ngắn hạn),Chỉ số thanh toán nhanh ([Tiền + Khoản đầu tư tài chính ngắn hạn]/ Nợ ngắn hạn),"1,64","1,81",1.64,1.81
