row_label_raw,row_label_full,col_0,"Nhà cửa, vát kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tổng cộng VND,"numeric__Nhà cửa, vát kiến trúc VND",numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,,,
Ngày 1 tháng 1 năm 2018,Nguyên giả > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,2.609.391.520,93.744.345.562,17.551.416.700,1.293.553.642,115.198.707.424,2609391520.0,93744345562.0,17551416700.0,1293553642.0,115198707424.0
Tăng trong năm,Nguyên giả > Tăng trong năm,Tăng trong năm,-,64.748.613.242,-,947.677.315,65.696.290.557,,64748613242.0,,947677315.0,65696290557.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,,64.748.613.242,-,947.677.315,65.696.290.557,,64748613242.0,,947677315.0,65696290557.0
Giảm trong năm,Nguyên giả > Giảm trong năm,Giảm trong năm,(2.609.391.520),(2.564.893.847),-,(67.760.000),(5.242.045.367),-2609391520.0,-2564893847.0,,-67760000.0,-5242045367.0
"Thanh lý, nhượng bán","Nguyên giả > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.609.391.520),(2.564.893.847),-,(67.760.000),(5.242.045.367),-2609391520.0,-2564893847.0,,-67760000.0,-5242045367.0
Ngày 31 tháng 12 năm 2018,Nguyên giả > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,-,155.928.064.957,17.551.416.700,2.173.470.957,175.652.952.614,,155928064957.0,17551416700.0,2173470957.0,175652952614.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,2.609.391.520,68.516.165.866,9.895.271.914,1.235.553.642,82.256.382.942,2609391520.0,68516165866.0,9895271914.0,1235553642.0,82256382942.0
Tăng trong năm,Khấu hao lũy kế > Tăng trong năm,Tăng trong năm,-,12.632.489.744,1.779.126.354,129.274.817,14.540.890.915,,12632489744.0,1779126354.0,129274817.0,14540890915.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,12.632.489.744,1.779.126.354,129.274.817,14.540.890.915,,12632489744.0,1779126354.0,129274817.0,14540890915.0
Giảm trong năm,Khấu hao lũy kế > Giảm trong năm,Giảm trong năm,(2.609.391.520),(2.564.893.847),,(67.760.000),(5.242.045.367),-2609391520.0,-2564893847.0,,-67760000.0,-5242045367.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.609.391.520),(2.564.893.847),-,(67.760.000),(5.242.045.367),-2609391520.0,-2564893847.0,,-67760000.0,-5242045367.0
Ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,-,78.583.761.763,11.674.398.268,1.297.068.459,91.555.228.490,,78583761763.0,11674398268.0,1297068459.0,91555228490.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Ngày 1 tháng 1 năm 2018,Giá trị còn lại > Ngày 1 tháng 1 năm 2018,Ngày 1 tháng 1 năm 2018,-,25.228.179.696,7.656.144.786,58.000.000,32.942.324.482,,25228179696.0,7656144786.0,58000000.0,32942324482.0
Ngày 31 tháng 12 năm 2018,Giá trị còn lại > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,-,77.344.303.194,5.877.018.432,876.402.498,84.097.724.124,,77344303194.0,5877018432.0,876402498.0,84097724124.0
