row_label_raw,row_label_full,45. NHỮNG THÔNG TIN KHÁC (tiếp theo),45. NHỮNG THÔNG TIN KHÁC (tiếp theo)_1,45. NHỮNG THÔNG TIN KHÁC (tiếp theo)_2,45. NHỮNG THÔNG TIN KHÁC (tiếp theo)_3,45. NHỮNG THÔNG TIN KHÁC (tiếp theo)_4,45. NHỮNG THÔNG TIN KHÁC (tiếp theo)_5,numeric__45. NHỮNG THÔNG TIN KHÁC (tiếp theo)_1,numeric__45. NHỮNG THÔNG TIN KHÁC (tiếp theo)_2,numeric__45. NHỮNG THÔNG TIN KHÁC (tiếp theo)_3,numeric__45. NHỮNG THÔNG TIN KHÁC (tiếp theo)_4,numeric__45. NHỮNG THÔNG TIN KHÁC (tiếp theo)_5
45.1 Nghiệp vụ với các bên liên quan (tiếp theo),45.1 Nghiệp vụ với các bên liên quan (tiếp theo),45.1 Nghiệp vụ với các bên liên quan (tiếp theo),45.1 Nghiệp vụ với các bên liên quan (tiếp theo),45.1 Nghiệp vụ với các bên liên quan (tiếp theo),45.1 Nghiệp vụ với các bên liên quan (tiếp theo),45.1 Nghiệp vụ với các bên liên quan (tiếp theo),45.1 Nghiệp vụ với các bên liên quan (tiếp theo),,,,,
,,,,Phải thu/(phải trả),Phải thu/(phải trả),Phải thu/(phải trả),Doanh thu/ (chi phí) VND,,,,,
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu năm VND,Tăng trong năm VND,Giảm trong năm VND,Số cuối năm VND,,,,,
Cty TNHH MTV,Công ty liên quan > Cty TNHH MTV,Cty TNHH MTV,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,412.791.046,(412.791.046),-,,,412791046.0,-412791046.0,
Nguyễn Sài Gòn,Công ty liên quan > Nguyễn Sài Gòn,Nguyễn Sài Gòn,Phải thu giao dịch ký quỹ,-,30.591.309.674,(30.591.309.674),-,,,30591309674.0,-30591309674.0,
Nguyễn Sài Gòn,Công ty liên quan > Nguyễn Sài Gòn,Nguyễn Sài Gòn,Cổ tức SSI,-,(2.000),2.000,-,,,-2000.0,2000.0,
Công ty TNHH Bắt,Công ty liên quan > Công ty TNHH Bắt,Công ty TNHH Bắt,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,190.345.677,(190.345.677),-,,,190345677.0,-190345677.0,
Đồng Sản Sài Gòn,Công ty liên quan > Đồng Sản Sài Gòn,Đồng Sản Sài Gòn,Cổ tức SSI,-,(30.154.063.000),30.154.063.000,-,,,-30154063000.0,30154063000.0,
Đan Linh,Đan Linh,Đan Linh,,,,,,,,,,
Công ty Cổ phần Khử trùng Việt Nam (VFG),Đan Linh > Công ty Cổ phần Khử trùng Việt Nam (VFG),Công ty Cổ phần Khử trùng Việt Nam (VFG),Góp vốn theo phương pháp vốn chủ sở hữu,166.807.929.717,16.782.550.254,(183.590.479.971),-,,166807929717.0,16782550254.0,-183590479971.0,
Công ty Cổ phần Cắng Đồng Nai (PDN),Đan Linh > Công ty Cổ phần Cắng Đồng Nai (PDN),Công ty Cổ phần Cắng Đồng Nai (PDN),Góp vốn theo phương pháp vốn chủ sở hữu,83.455.067.732,4.779.299.308,(88.234.367.040),-,,83455067732.0,4779299308.0,-88234367040.0,
Đối tượng liên quan khác,Đan Linh > Đối tượng liên quan khác,Đối tượng liên quan khác,Mua trải phiếu SSI,(60.000.000.000),-,-,(60.000.000.000),,-60000000000.0,,,-60000000000.0
Đối tượng liên quan khác,Đan Linh > Đối tượng liên quan khác,Đối tượng liên quan khác,Lãi trải phiếu phải trả,(4.901.666.666),(5.199.533.881),5.167.146.119,(4.934.054.428),,-4901666666.0,-5199533881.0,5167146119.0,-4934054428.0
Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,Các giao dịch với các bên liên quan khác,,,,,
Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc,,,,,
,,,,Năm nay VND,Năm trước VND,,,,,,,
Lương và thường,Thu nhập của các thành viên của Hội đồng Quản trị và Ban Tổng Giám đốc > Lương và thường,Lương và thường,,13.126.800.000,12.405.200.000,,,,13126800000.0,12405200000.0,,
