row_label_raw,row_label_full,Tài sản,Số cuối năm VND,Số đầu năm VND,Mục đích đảm bảo,numeric__Số cuối năm VND,numeric__Số đầu năm VND,numeric__Mục đích đảm bảo
Ngắn hạn,Ngắn hạn,Ngắn hạn,11.344.178.180.000,8.108.665.060.000,,11344178180000.0,8108665060000.0,
- Tài sản tài chính FVTPL (tính theo mệnh giá),- Tài sản tài chính FVTPL (tính theo mệnh giá),- Tài sản tài chính FVTPL (tính theo mệnh giá),32.178.180.000,183.670.880.000,Vay ngắn hạn,32178180000.0,183670880000.0,
- Tài sản tài chính AFS (tính theo mệnh giá),- Tài sản tài chính AFS (tính theo mệnh giá),- Tài sản tài chính AFS (tính theo mệnh giá),-,92.994.180.000,Trái phiếu do Công ty phát hành và vay ngắn hạn,,92994180000.0,
- Tiền gửi có kỳ hạn còn lại dưới 1 năm,- Tiền gửi có kỳ hạn còn lại dưới 1 năm,- Tiền gửi có kỳ hạn còn lại dưới 1 năm,9.742.000.000.000,7.832.000.000.000,Vay thầu chi và vay ngắn hạn,9742000000000.0,7832000000000.0,
- Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm,- Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm,- Chứng chỉ tiền gửi có kỳ hạn còn lại dưới 1 năm,1.570.000.000.000,-,Vay thầu chi và vay ngắn hạn,1570000000000.0,,
Dài hạn,Dài hạn,Dài hạn,438.801.200.000,398.600.928.000,,438801200000.0,398600928000.0,
- Tiền gửi có kỳ hạn còn lại trên 1 năm,- Tiền gửi có kỳ hạn còn lại trên 1 năm,- Tiền gửi có kỳ hạn còn lại trên 1 năm,-,70.000.000.000,Vay ngắn hạn,,70000000000.0,
- Chứng chỉ tiền gửi có kỳ hạn còn lại trên 1 năm,- Chứng chỉ tiền gửi có kỳ hạn còn lại trên 1 năm,- Chứng chỉ tiền gửi có kỳ hạn còn lại trên 1 năm,300.000.000.000,-,Vay thầu chi và vay ngắn hạn,300000000000.0,,
- Đầu tư vào công ty liên kết (tính theo mệnh giá),- Đầu tư vào công ty liên kết (tính theo mệnh giá),- Đầu tư vào công ty liên kết (tính theo mệnh giá),138.801.200.000,218.929.370.000,Vay ngắn hạn,138801200000.0,218929370000.0,
- Tài sản cố định vô hình,- Tài sản cố định vô hình,- Tài sản cố định vô hình,-,109.671.558.000,Trái phiếu do Công ty phát hành,,109671558000.0,
Tổng cộng,Tổng cộng,Tổng cộng,11.782.979.380.000,8.507.265.988.000,,11782979380000.0,8507265988000.0,
