row_label_raw,row_label_full,CHÍ TIỀU,Thuyết minh,Số dư đầu năm > Ngày 01/01/2017 > VND,Số dư đầu năm > Ngày 01/01/2018 > VND,Số tăng/giảm > Năm trước > Tăng > VND,Số tăng/giảm > Năm trước > Giảm > VND,Số tăng/giảm > Năm nay > Tăng > VND,Số tăng/giảm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31/12/2017 > VND,Số dư cuối năm > Ngày 31/12/2018 > VND,numeric__Thuyết minh,numeric__Số dư đầu năm > Ngày 01/01/2017 > VND,numeric__Số dư đầu năm > Ngày 01/01/2018 > VND,numeric__Số tăng/giảm > Năm trước > Tăng > VND,numeric__Số tăng/giảm > Năm trước > Giảm > VND,numeric__Số tăng/giảm > Năm nay > Tăng > VND,numeric__Số tăng/giảm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31/12/2017 > VND,numeric__Số dư cuối năm > Ngày 31/12/2018 > VND
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU,I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU,I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,4.927.409.917.200,5.027.878.981.200,100.290.896.034,178.167.966,207.285.971.735,(12.000.000),5.027.878.981.200,5.235.152.952.935,,4927409917200.0,5027878981200.0,100290896034.0,178167966.0,207285971735.0,-12000000.0,5027878981200.0,5235152952935.0
1.1. Cổ phiếu phổ thông,I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU > 1.1. Cổ phiếu phổ thông,1.1. Cổ phiếu phổ thông,,4.900.636.840.000,5.000.636.840.000,100.000.000.000,-,100.000.000.000,-,5.000.636.840.000,5.100.636.840.000,,4900636840000.0,5000636840000.0,100000000000.0,,100000000000.0,,5000636840000.0,5100636840000.0
1.2. Thắng dư vốn có phần,I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU > 1.2. Thắng dư vốn có phần,1.2. Thắng dư vốn có phần,,29.265.860.000,29.482.756.034,290.896.034,(74.000.000),-,(12.000.000),29.482.756.034,29.470.756.034,,29265860000.0,29482756034.0,290896034.0,-74000000.0,,-12000000.0,29482756034.0,29470756034.0
1.3. Quyền chọn chuyển đổi trái phiếu – Cầu phần vốn,I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU > 1.3. Quyền chọn chuyển đổi trái phiếu – Cầu phần vốn,1.3. Quyền chọn chuyển đổi trái phiếu – Cầu phần vốn,,-,-,-,-,113.779.095.785,-,-,113.779.095.785,,,,,,113779095785.0,,,113779095785.0
1.4. Cổ phiếu quỹ,I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU > 1.4. Cổ phiếu quỹ,1.4. Cổ phiếu quỹ,,(2.492.782.800),(2.240.614.834),-,252.167.965,(6.493.124.050),-,(2.240.614.834),(8.733.738.884),,-2492782800.0,-2240614834.0,,252167965.0,-6493124050.0,,-2240614834.0,-8733738884.0
2. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU > 2. Quỹ dự trữ bổ sung vốn điều lệ,2. Quỹ dự trữ bổ sung vốn điều lệ,,311.560.605.893,355.412.398.796,43.851.792.903,-,56.644.766.511,-,355.412.398.796,412.057.165.307,,311560605893.0,355412398796.0,43851792903.0,,56644766511.0,,355412398796.0,412057165307.0
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,227.053.011.209,270.904.804.112,43.851.792.903,-,56.644.766.511,-,270.904.804.112,327.549.570.623,,227053011209.0,270904804112.0,43851792903.0,,56644766511.0,,270904804112.0,327549570623.0
4. Chênh lệch đánh gia lại tài sản theo gia trí hợp lý,I. BIÊN ĐỒNG VỐN CHỦ SỐ HỮU > 4. Chênh lệch đánh gia lại tài sản theo gia trí hợp lý,4. Chênh lệch đánh gia lại tài sản theo gia trí hợp lý,,652.792.875.375,637.896.244.067,607.628.548.568,(622.525.179.876),36.935.488.132,(397.030.713.173),637.896.244.067,277.801.019.026,,652792875375.0,637896244067.0,607628548568.0,-622525179876.0,36935488132.0,-397030713173.0,637896244067.0,277801019026.0
