row_label_raw,row_label_full,Công ty liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/(chi phí)VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/(chi phí)VND
Công ty liên quan,Công ty liên quan,Công ty liên quan,Giao dịch,Số đầu nămVND,Tăng trong nămVND,Giảm trong nămVND,Số cuối nămVND,Doanh thu/(chi phí)VND,,,,,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,2.489.621.301,(2.489.621.301),-,2.470.618.901,,,2489621301.0,-2489621301.0,,2470618901.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Doanh thu hợp đồng tư vấn,200.000.000,30.765.220.000,(30.965.220.000),-,28.661.083.636,,200000000.0,30765220000.0,-30965220000.0,,28661083636.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Giao dịch mua chứng khoán,-,(100.000.000.000),100.000.000.000,-,-,,,-100000000000.0,100000000000.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Giao dịch bán chứng khoán,-,278.333.403.000,(278.333.403.000),-,51.504.961.192,,,278333403000.0,-278333403000.0,,51504961192.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Nhận cọc môi giới chứng khoán và hợp đồng quản lý tiền gửi,(180.000.000.000),(5.963.924.897.671),4.921.249.708.054,(1.222.675.189.617),-,,-180000000000.0,-5963924897671.0,4921249708054.0,-1222675189617.0,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Lãi nhận cọc phải trả và lãi hợp đồng quản lý tiền gửi,(602.246.575),(51.554.838.704),48.637.588.390,(3.519.496.889),51.554.838.704,,-602246575.0,-51554838704.0,48637588390.0,-3519496889.0,51554838704.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Chi phí mua hàng hóa,-,(3.741.188.566),3.741.188.566,-,3.651.086.066,,,-3741188566.0,3741188566.0,,3651086066.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Phải trả hộ tiền bán chứng khoán,-,(13.491.708.625),13.491.708.625,-,-,,,-13491708625.0,13491708625.0,,
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Gộp vốn theo phương pháp vốn chủ sở hữu,545.928.657.960,237.451.076.910,(48.711.449.569),734.668.285.301,15.157.486.946,,545928657960.0,237451076910.0,-48711449569.0,734668285301.0,15157486946.0
Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty liên quan > Công ty Cổ phần Tập đoàn PAN và các công ty con,Công ty Cổ phần Tập đoàn PAN và các công ty con,Lãi trái phiếu,-,4.536.986.301,(4.536.986.301),-,3.286.849.314,,,4536986301.0,-4536986301.0,,3286849314.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Doanh thu giao dịch và dịch vụ chứng khoán khác,-,189.485.396,(189.485.396),-,189.485.396,,,189485396.0,-189485396.0,,189485396.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Phi quản lý danh mục,12.245.025,248.936.677,(144.372.743),116.808.959,248.936.677,,12245025.0,248936677.0,-144372743.0,116808959.0,248936677.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Bán chứng khoán,-,664.654.560.000,(664.654.560.000),-,(2.932.868.804),,,664654560000.0,-664654560000.0,,-2932868804.0
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,Mua chứng khoán,-,(652.408.300.000),652.408.300.000,-,-,,,-652408300000.0,652408300000.0,,
Công ty TNHH Đầu tư NDH và công ty con,Công ty liên quan > Công ty TNHH Đầu tư NDH và công ty con,Công ty TNHH Đầu tư NDH và công ty con,"Ứng trước doanh thu phí tư vấn, dịch vụ",-,4.665.117.115,(2.877.482.115),1.787.635.000,5.105.383.742,,,4665117115.0,-2877482115.0,1787635000.0,5105383742.0
