row_label_raw,row_label_full,col_0,Tổng công VND,Số dư đã dự phỏng VND,Không quả hạn và không bị suy giảm VND,Quả hạn nhưng không bị suy giảm,Quả hạn nhưng không bị suy giảm_1,Quả hạn nhưng không bị suy giảm_2,Quả hạn nhưng không bị suy giảm_3,numeric__Tổng công VND,numeric__Số dư đã dự phỏng VND,numeric__Không quả hạn và không bị suy giảm VND,numeric__Quả hạn nhưng không bị suy giảm,numeric__Quả hạn nhưng không bị suy giảm_1,numeric__Quả hạn nhưng không bị suy giảm_2,numeric__Quả hạn nhưng không bị suy giảm_3
,,,Tổng công VND,Số dư đã dự phỏng VND,Không quả hạn và không bị suy giảm VND,< 80 ngày VND,81–180 ngày VND,>180 ngày VND,>210 ngày VND,,,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,5.764.072.330.098,56.063.514.700,5.705.264.586.971,2.739.630.040,2.201.503,70.390,2.326.494,5764072330098.0,56063514700.0,5705264586971.0,2739630040.0,2201503.0,70390.0,2326494.0
Số cuối năm,Số cuối năm,Số cuối năm,5.966.651.185.939,33.732.119.327,5.931.945.546.892,961.795.139,5.001.214,1.371.439,5.351.928,5966651185939.0,33732119327.0,5931945546892.0,961795139.0,5001214.0,1371439.0,5351928.0
Rủi ro thanh khoản,Rủi ro thanh khoản,Rủi ro thanh khoản,Rủi ro thanh khoản,Rủi ro thanh khoản,Rủi ro thanh khoản,Rủi ro thanh khoản,Rủi ro thanh khoản,Rủi ro thanh khoản,Rủi ro thanh khoản,,,,,,,
