row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích (%),Tỷ lệ lợi ích (%)_1,Tỷ lệ biểu quyết (%) (*),Tỷ lệ biểu quyết (%) (*)_1,Hoạt động chính,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ lợi ích (%)_1,numeric__Tỷ lệ biểu quyết (%) (*),numeric__Tỷ lệ biểu quyết (%) (*)_1,numeric__Hoạt động chính
Tên công ty,Tên công ty,Tên công ty,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,Hoạt động chính,,,,,
"Công ty TNHH Connexion Việt Nam (""Công ty Connexion Việt Nam"")","Tên công ty > Công ty TNHH Connexion Việt Nam (""Công ty Connexion Việt Nam"")","Công ty TNHH Connexion Việt Nam (""Công ty Connexion Việt Nam"")","48,98",-,"49,00",-,Lập trình máy tính và cung cấp dịch vụ công nghệ thông tin,48.98,,49.0,,
"Công ty Cổ phần Genestory (""Công ty Genestory"")","Tên công ty > Công ty Cổ phần Genestory (""Công ty Genestory"")","Công ty Cổ phần Genestory (""Công ty Genestory"")","47,11","47,11","47,11","47,11",Nghiên cứu khoa học và phát triển công nghệ,47.11,47.11,47.11,47.11,
"Công ty Cổ phần Giống vật nuôi Hà Nội (""Công ty Giống vật nuôi Hà Nội"")","Tên công ty > Công ty Cổ phần Giống vật nuôi Hà Nội (""Công ty Giống vật nuôi Hà Nội"")","Công ty Cổ phần Giống vật nuôi Hà Nội (""Công ty Giống vật nuôi Hà Nội"")","37,63","37,63","37,63","37,63",Chăn nuôi gia súc,37.63,37.63,37.63,37.63,
"Công ty Cổ phần Quỹ Đầu tư Mạo hiểm VinVentures (""Công ty VinVentures"")","Tên công ty > Công ty Cổ phần Quỹ Đầu tư Mạo hiểm VinVentures (""Công ty VinVentures"")","Công ty Cổ phần Quỹ Đầu tư Mạo hiểm VinVentures (""Công ty VinVentures"")","28,00",(**),"28,00",(**),Tư vấn đầu tư cho các doanh nghiệp trong lĩnh vực công nghệ,28.0,,28.0,,
"Công ty TNHH Khai thác và Chế biến đá Tường Phú (""Công ty Tường Phú"")","Tên công ty > Công ty TNHH Khai thác và Chế biến đá Tường Phú (""Công ty Tường Phú"")","Công ty TNHH Khai thác và Chế biến đá Tường Phú (""Công ty Tường Phú"")","26,88","19,26","40,00","40,00",Khai thác khoảng sản,26.88,19.26,40.0,40.0,
"Công ty TNHH Giải pháp Năng Lượng Công nghệ cao V-G (""Công ty V-G"")","Tên công ty > Công ty TNHH Giải pháp Năng Lượng Công nghệ cao V-G (""Công ty V-G"")","Công ty TNHH Giải pháp Năng Lượng Công nghệ cao V-G (""Công ty V-G"")","24,79","24,80","49,00","49,00",Sản xuất pin và ắc quy,24.79,24.8,49.0,49.0,
"Công ty Cổ phần Vincom Retail (""Công ty Vincom Retail"")","Tên công ty > Công ty Cổ phần Vincom Retail (""Công ty Vincom Retail"")","Công ty Cổ phần Vincom Retail (""Công ty Vincom Retail"")","18,82","18,82","18,82","18,82","Cho thuê mặt bằng, đầu tư, xây dựng và kinh doanh bất động sản",18.82,18.82,18.82,18.82,
"Công ty Cổ phần In sách Việt Nam (""Công ty In sách Việt Nam"")","Tên công ty > Công ty Cổ phần In sách Việt Nam (""Công ty In sách Việt Nam"")","Công ty Cổ phần In sách Việt Nam (""Công ty In sách Việt Nam"")","18,13","18,13","27,76","27,76",In ấn,18.13,18.13,27.76,27.76,
"Công ty Cổ phần Aivicam (""Công ty Aivicam"")","Tên công ty > Công ty Cổ phần Aivicam (""Công ty Aivicam"")","Công ty Cổ phần Aivicam (""Công ty Aivicam"")",-,"49,73",-,"49,73",Dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy tính,,49.73,,49.73,
