row_label_raw,row_label_full,Tên công ty,Số đầu năm,Đầu tư thêm,"Phân chia lãi(lỗ) từ các công ty liên kết, liên doanh",Thanh lý đầu tư trong năm,Số cuối năm,Giá trị hợp lý tại ngày 31 tháng 12 năm 2025,numeric__Số đầu năm,numeric__Đầu tư thêm,"numeric__Phân chia lãi(lỗ) từ các công ty liên kết, liên doanh",numeric__Thanh lý đầu tư trong năm,numeric__Số cuối năm,numeric__Giá trị hợp lý tại ngày 31 tháng 12 năm 2025
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,7.877.783,-,1.216.737,-,9.094.520,14.392.613,7877783.0,,1216737.0,,9094520.0,14392613.0
Công ty V-G,Công ty V-G,Công ty V-G,1.166.003,-,(82.066),-,1.083.937,(i),1166003.0,,-82066.0,,1083937.0,
Công ty Tường Phú,Công ty Tường Phú,Công ty Tường Phú,87.155,-,(60),-,87.095,(i),87155.0,,-60.0,,87095.0,
Công ty Connexion Việt Nam,Công ty Connexion Việt Nam,Công ty Connexion Việt Nam,-,45.255,4.780,-,50.035,(i),,45255.0,4780.0,,50035.0,
Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,47.236,-,-,-,47.236,(i),47236.0,,,,47236.0,
Công ty Genestory,Công ty Genestory,Công ty Genestory,36.137,-,(255),-,35.882,(i),36137.0,,-255.0,,35882.0,
Công ty Vinventures,Công ty Vinventures,Công ty Vinventures,-,35.000,(943),-,34.057,(i),,35000.0,-943.0,,34057.0,
Công ty In sách Việt Nam,Công ty In sách Việt Nam,Công ty In sách Việt Nam,5.210,-,-,-,5.210,(i),5210.0,,,,5210.0,
Công ty Aivicam,Công ty Aivicam,Công ty Aivicam,2.222,-,-,(2.222),-,,2222.0,,,-2222.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,9.221.746,80.255,1.138.193,(2.222),10.437.972,,9221746.0,80255.0,1138193.0,-2222.0,10437972.0,
