row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp/cấntrừ/thay đối khacctrong năm,Số đã nộptrong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp/cấntrừ/thay đối khacctrong năm,numeric__Số đã nộptrong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,12.286.739,16.069.199,(23.182.590),5.173.348,12286739.0,16069199.0,-23182590.0,5173348.0
Thuế tiêu thụ đặc biệt,Phải nộp > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,643.258,2.347.625,(813.436),2.177.447,643258.0,2347625.0,-813436.0,2177447.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,13.823.881,14.455.548,(17.042.928),11.236.501,13823881.0,14455548.0,-17042928.0,11236501.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,986.686,4.580.551,(5.057.027),510.210,986686.0,4580551.0,-5057027.0,510210.0
"Tiền sử dụng đất, thuê đất","Phải nộp > Tiền sử dụng đất, thuê đất","Tiền sử dụng đất, thuê đất",3.442.144,104.251.410,(93.813.052),13.880.502,3442144.0,104251410.0,-93813052.0,13880502.0
Thuế và các khoản phải nộpNhà nước khác,Phải nộp > Thuế và các khoản phải nộpNhà nước khác,Thuế và các khoản phải nộpNhà nước khác,1.574.950,9.436.551,(8.864.261),2.147.240,1574950.0,9436551.0,-8864261.0,2147240.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,32.757.658,151.140.884,(148.773.294),35.125.248,32757658.0,151140884.0,-148773294.0,35125248.0
,,,Số đầu năm,Số phải thu trong năm,Số đã cấn trừtrong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,282.786,17.186,(224.202),75.770,282786.0,17186.0,-224202.0,75770.0
Thuế và các khoản phải thuNhà nước khác,Phải thu > Thuế và các khoản phải thuNhà nước khác,Thuế và các khoản phải thuNhà nước khác,29.810,161.832,(637),191.005,29810.0,161832.0,-637.0,191005.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,312.596,179.018,(224.839),266.775,312596.0,179018.0,-224839.0,266775.0
