row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Chịu sự kiểm soát chung,Chi phí hỗ trợ và từ thiện,537.207,61.951,,,537207.0,61951.0
"Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")","Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")","Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")",Chịu sự kiểm soát chung,Đặt cọc cho mục đích hợp tác kinh doanh,25.200.000,-,,,25200000.0,
"Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")","Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")","Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")",Chịu sự kiểm soát chung,"Mua dịch vụ thuê văn phòng, khách sạn và tư vấn",185.222,164.984,,,185222.0,164984.0
"Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")","Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")","Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")",Chịu sự kiểm soát chung,"Doanh thu liên quan đến cung cấp dịch vụ, hàng hóa",130.603,121.437,,,130603.0,121437.0
"Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")","Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")","Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")",Chịu sự kiểm soát chung,Nhận đặt cọc chuyển nhượng dự án bắt động sản,-,194.100,,,,194100.0
"Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")","Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")","Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (""Tập đoàn Đầu tư Việt Nam"")",Chịu sự kiểm soát chung,Tài trợ cho công ty con của Tập đoàn,-,74.904,,,,74904.0
Công ty GSM,Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Doanh thu từ bán hàng,17.895.878,12.949.031,,,17895878.0,12949031.0
Công ty GSM,Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Góp vốn,875.000,602.632,,,875000.0,602632.0
Công ty GSM,Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Chi phí hỗ trợ văn chuyển,164.057,139.455,,,164057.0,139455.0
Công ty GSM,Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Lãi phạt chậm trả,162.410,245.817,,,162410.0,245817.0
"PT XanhSM Green and Smart Mobility Indonesia (""Công ty GSM Indonesia"")","PT XanhSM Green and Smart Mobility Indonesia (""Công ty GSM Indonesia"")","PT XanhSM Green and Smart Mobility Indonesia (""Công ty GSM Indonesia"")",Chịu sự kiểm soát chung,Doanh thu từ bán hàng,3.347.686,1.698.465,,,3347686.0,1698465.0
"Green and Smart Mobility Philippines (""Công ty GSM Philippines"")","Green and Smart Mobility Philippines (""Công ty GSM Philippines"")","Green and Smart Mobility Philippines (""Công ty GSM Philippines"")",Chịu sự kiểm soát chung,Doanh thu từ bán hàng,1.663.685,-,,,1663685.0,
"Công ty Cổ phần Thương mai và Dịch vụ Green Future (""Công ty Green Future"")","Công ty Cổ phần Thương mai và Dịch vụ Green Future (""Công ty Green Future"")","Công ty Cổ phần Thương mai và Dịch vụ Green Future (""Công ty Green Future"")",Chịu sự kiểm soát chung,Doanh thu từ bán hàng,1.812.931,52.347,,,1812931.0,52347.0
"Công ty Cổ phần Thương mai và Dịch vụ Green Future (""Công ty Green Future"")","Công ty Cổ phần Thương mai và Dịch vụ Green Future (""Công ty Green Future"")","Công ty Cổ phần Thương mai và Dịch vụ Green Future (""Công ty Green Future"")",Chịu sự kiểm soát chung,Thanh lý tài sản,267.255,-,,,267255.0,
Công ty V-Green,Công ty V-Green,Công ty V-Green,Chịu sự kiểm soát chung,Phải thu từ chi hộ,1.881.414,398.554,,,1881414.0,398554.0
Công ty V-Green,Công ty V-Green,Công ty V-Green,Chịu sự kiểm soát chung,Chi phí trạm sạc liên quan đến chương trình miễn phí trạm sạc cho khách hàng mua xe điện,1.547.218,211.875,,,1547218.0,211875.0
Công ty V-Green,Công ty V-Green,Công ty V-Green,Chịu sự kiểm soát chung,Doanh thu từ hợp đồng hợp tác kinh doanh,232.438,55.298,,,232438.0,55298.0
