row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng liên quan đến các bất động sản chưa bản giao,Ngắn hạn > Chi phí bán hàng liên quan đến các bất động sản chưa bản giao,Chi phí bán hàng liên quan đến các bất động sản chưa bản giao,2.801.186,3.304.264,2801186.0,3304264.0
Chi phí trả trước liên quan đến các khoản vay và trái phiếu,Ngắn hạn > Chi phí trả trước liên quan đến các khoản vay và trái phiếu,Chi phí trả trước liên quan đến các khoản vay và trái phiếu,925.362,332.343,925362.0,332343.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,884.014,955.792,884014.0,955792.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,4.610.562,4.592.399,4610562.0,4592399.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Chi phí thuê đất trả trước,Dải hạn > Chi phí thuê đất trả trước,Chi phí thuê đất trả trước,5.578.058,4.713.050,5578058.0,4713050.0
"Chi phí công cụ, dụng cụ","Dải hạn > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",2.365.472,1.993.482,2365472.0,1993482.0
Chi phí sửa chữa lớn,Dải hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,211.977,253.403,211977.0,253403.0
Chi phí trả trước liên quan đến trái phiếu,Dải hạn > Chi phí trả trước liên quan đến trái phiếu,Chi phí trả trước liên quan đến trái phiếu,200.470,513.423,200470.0,513423.0
Chi phí trả trước dài hạn khác,Dải hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,797.813,1.168.035,797813.0,1168035.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,9.153.790,8.641.393,9153790.0,8641393.0
