row_label_raw,row_label_full,col_0,Công ty Cổ phần VinWonders Nha Trang,Công ty Cổ phần Đầu tư và Phát triển Khách sạn Landmark 81,Công ty Cổ phần Đầu tư và Phát triển Khách sạn Thanh Hóa,Các công ty khác,Tổng cộng,numeric__Công ty Cổ phần VinWonders Nha Trang,numeric__Công ty Cổ phần Đầu tư và Phát triển Khách sạn Landmark 81,numeric__Công ty Cổ phần Đầu tư và Phát triển Khách sạn Thanh Hóa,numeric__Các công ty khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.892.377,1.077.557,623.933,4.366.147,8.960.014,2892377.0,1077557.0,623933.0,4366147.0,8960014.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.892.377,1.077.557,623.933,4.366.147,8.960.014,2892377.0,1077557.0,623933.0,4366147.0,8960014.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,243.077,90.558,52.436,4.056.529,4.442.600,243077.0,90558.0,52436.0,4056529.0,4442600.0
Phân bổ trong năm,Giá trị hao mòn lũy kế: > Phân bổ trong năm,Phân bổ trong năm,289.000,107.667,62.342,102.411,561.420,289000.0,107667.0,62342.0,102411.0,561420.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,532.077,198.225,114.778,4.158.940,5.004.020,532077.0,198225.0,114778.0,4158940.0,5004020.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.649.300,986.999,571.497,309.618,4.517.414,2649300.0,986999.0,571497.0,309618.0,4517414.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.360.300,879.332,509.155,207.207,3.955.994,2360300.0,879332.0,509155.0,207207.0,3955994.0
