row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 25),Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 25),Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 25),Đơn vị tính: triệu VND > Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 25),Đơn vị tính: triệu VND > Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 25),numeric__Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 25),numeric__Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 25),numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 25),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải trả ngắn hạn khác (Thuyết minh số 25)
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Nhận đặt cọc từ hợp đồng hợp tác đầu tư,2.054.318,-,,,2054318.0,
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải trả từ chỉ hộ,15.734,78.822,,,15734.0,78822.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Nhận đặt cọc từ hợp đồng hợp tác đầu tư,899.641,-,,,899641.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Nhận đặt cọc chuyển nhượng dự án bắt động sản,-,5.479.698,,,,5479698.0
Công ty GSM,Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Phải trả từ chỉ hộ,-,75.361,,,,75361.0
Công ty VMI (iii),Công ty VMI (iii),Công ty VMI (iii),Chịu sự kiểm soát chung,Nhận đặt cọc chuyển nhượng dự án bắt động sản,-,67.999,,,,67999.0
,,,,,2.969.693,5.701.880,,,2969693.0,5701880.0
Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),,,,
Công ty Vincom Retail,Phải trả dài hạn khác (Thuyết minh số 25) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Nhận đặt cọc từ hợp đồng hợp tác đầu tư,10.597.883,12.935.824,,,10597883.0,12935824.0
Công ty Vincom Retail,Phải trả dài hạn khác (Thuyết minh số 25) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Nhận đặt cọc chuyển nhượng dự án bắt động sản,10.383.168,-,,,10383168.0,
Công ty Vận Hành Vincom Retail,Phải trả dài hạn khác (Thuyết minh số 25) > Công ty Vận Hành Vincom Retail,Công ty Vận Hành Vincom Retail,Công ty liên kết,Nhận đặt cọc từ hợp đồng hợp tác đầu tư,8.222.188,7.985.875,,,8222188.0,7985875.0
Tập đoàn Đầu tư Việt Nam,Phải trả dài hạn khác (Thuyết minh số 25) > Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Chịu sự kiểm soát chung,Nhận đặt cọc cho hoạt động chuyển nhượng dự án bắt động sản,194.100,194.100,,,194100.0,194100.0
,,,,,29.397.339,21.115.799,,,29397339.0,21115799.0
