row_label_raw,row_label_full,Bên liên quan > Ông Phạm Nhật Vượng,Mối quan hệ > Chủ tịch Tập đoàn,Nội dung nghiệp vụ > Chuyển nhượng cổ phần trong công ty con (Thuyết minh số 4.3) Tài trợ cho công ty con của Tập đoàn,Đơn vị tính: triệu VND > Năm nay > 39.828.245 > 23.000.000,Đơn vị tính: triệu VND > Năm trước > 1.820.006 > 8.277.310,numeric__Mối quan hệ > Chủ tịch Tập đoàn,numeric__Nội dung nghiệp vụ > Chuyển nhượng cổ phần trong công ty con (Thuyết minh số 4.3) Tài trợ cho công ty con của Tập đoàn,numeric__Đơn vị tính: triệu VND > Năm nay > 39.828.245 > 23.000.000,numeric__Đơn vị tính: triệu VND > Năm trước > 1.820.006 > 8.277.310
Cổ đông lớn của công ty con 1 (ii),Cổ đông lớn của công ty con 1 (ii),Cổ đông lớn của công ty con 1 (ii),Cổ đông lớn của công ty con,Chi trả cổ tức,987.000,-,,,987000.0,
Cổ đông lớn của công ty con 2,Cổ đông lớn của công ty con 2,Cổ đông lớn của công ty con 2,Cổ đông lớn của công ty con,Chi trả cổ tức,1.274.521,-,,,1274521.0,
Công ty V-G,Công ty V-G,Công ty V-G,Công ty liên doanh,Mua hàng hóa Doanh thu từ hợp đồng xây dựng,4.158.982,-,,,4158982.0,
Công ty V-G,Công ty V-G,Công ty V-G,Công ty liên doanh,Mua hàng hóa Doanh thu từ hợp đồng xây dựng,-,213.639,,,,213639.0
Cổ đông lớn của công ty con 3,Cổ đông lớn của công ty con 3,Cổ đông lớn của công ty con 3,Cổ đông lớn của công ty con,Đi vay Lãi đi vay,197.000,-,,,197000.0,
Cổ đông lớn của công ty con 3,Cổ đông lớn của công ty con 3,Cổ đông lớn của công ty con 3,Cổ đông lớn của công ty con,Đi vay Lãi đi vay,101.637,111.369,,,101637.0,111369.0
Công ty TNHH Đầu tư và Phát triển SDI,Công ty TNHH Đầu tư và Phát triển SDI,Công ty TNHH Đầu tư và Phát triển SDI,Công ty liên kết đến ngày 4 tháng 9 năm 2024,Lãi chia sẻ lợi nhuận hợp đồng hợp tác đầu tư và kinh doanh,-,247.730,,,,247730.0
Cá nhân 1,Cá nhân 1,Cá nhân 1,Thành viên mật thiết trong gia đình của cá nhân quản lý Tập đoàn,Nhận chuyển nhượng cổ phần trong công ty con,-,475.430,,,,475430.0
Cá nhân 2,Cá nhân 2,Cá nhân 2,Thành viên mật thiết trong gia đình của cá nhân quản lý Tập đoàn,Nhận chuyển nhượng cổ phần trong công ty con,-,85.458,,,,85458.0
