row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dự phòng bảo hành,Chi phí bán hàng > Chi phí dự phòng bảo hành,Chi phí dự phòng bảo hành,18.032.845,4.336.721,18032845.0,4336721.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,7.098.864,7.934.240,7098864.0,7934240.0
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,2.699.125,2.799.845,2699125.0,2799845.0
"Chi phí khấu hao, hao mòn tài sản cố định","Chi phí bán hàng > Chi phí khấu hao, hao mòn tài sản cố định","Chi phí khấu hao, hao mòn tài sản cố định",387.012,430.545,387012.0,430545.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,2.847.219,2.552.568,2847219.0,2552568.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,31.065.065,18.053.919,31065065.0,18053919.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,5.052.619,4.888.000,5052619.0,4888000.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,4.397.676,3.592.567,4397676.0,3592567.0
Chi phí nghiên cứu và phát triển,Chi phí quản lý doanh nghiệp > Chi phí nghiên cứu và phát triển,Chi phí nghiên cứu và phát triển,3.501.153,2.590.874,3501153.0,2590874.0
"Chi phí khấu hao, hao mòn tài sản cố định vàphân bổ lợi thế thương mại","Chi phí quản lý doanh nghiệp > Chi phí khấu hao, hao mòn tài sản cố định vàphân bổ lợi thế thương mại","Chi phí khấu hao, hao mòn tài sản cố định vàphân bổ lợi thế thương mại",1.552.625,1.674.555,1552625.0,1674555.0
Chi phí tài trợ và từ thiện,Chi phí quản lý doanh nghiệp > Chi phí tài trợ và từ thiện,Chi phí tài trợ và từ thiện,1.319.709,409.716,1319709.0,409716.0
Trích lập dự phòng,Chi phí quản lý doanh nghiệp > Trích lập dự phòng,Trích lập dự phòng,188.344,541.699,188344.0,541699.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,1.976.723,1.450.896,1976723.0,1450896.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,17.988.849,15.148.307,17988849.0,15148307.0
