row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Số cuối nămTriệu VND,Lãi suất%/năm,Ngày đảo hạn,Tải sảnđảm bảo,numeric__Mối quan hệ,numeric__Số cuối nămTriệu VND,numeric__Lãi suất%/năm,numeric__Ngày đảo hạn,numeric__Tải sảnđảm bảo
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Cổ đông lớn củacông ty con 3,Vay dài hạn > Cổ đông lớn củacông ty con 3,Cổ đông lớn củacông ty con 3,Cổ đông lớn củacông ty con,938.000,11 - 12%,Tháng 1 năm 2027,Không,,938000.0,,,
,,,,938.000,,,,,938000.0,,,
