row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Nhận đặt cọc, góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh và các thỏa thuận khác (i)","Ngắn hạn > Nhận đặt cọc, góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh và các thỏa thuận khác (i)","Nhận đặt cọc, góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh và các thỏa thuận khác (i)",53.790.199,40.946.478,53790199.0,40946478.0
"Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bắt động sản (ii)","Ngắn hạn > Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bắt động sản (ii)","Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bắt động sản (ii)",41.134.809,54.824.921,41134809.0,54824921.0
Các khoản phải trả khác liên quan đến hợp đồng hợp tác đầu tư và kinh doanh,Ngắn hạn > Các khoản phải trả khác liên quan đến hợp đồng hợp tác đầu tư và kinh doanh,Các khoản phải trả khác liên quan đến hợp đồng hợp tác đầu tư và kinh doanh,10.143.393,8.550.238,10143393.0,8550238.0
Phải trả theo Thư tín dụng (iii),Ngắn hạn > Phải trả theo Thư tín dụng (iii),Phải trả theo Thư tín dụng (iii),3.984.711,-,3984711.0,
Đặt cọc cho hoạt động đầu tư,Ngắn hạn > Đặt cọc cho hoạt động đầu tư,Đặt cọc cho hoạt động đầu tư,2.839.256,2.759.924,2839256.0,2759924.0
Quỹ bảo trì căn hộ (iv),Ngắn hạn > Quỹ bảo trì căn hộ (iv),Quỹ bảo trì căn hộ (iv),2.273.528,1.917.642,2273528.0,1917642.0
Phải trả khác (v),Ngắn hạn > Phải trả khác (v),Phải trả khác (v),10.267.529,10.604.431,10267529.0,10604431.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,124.433.425,119.603.634,124433425.0,119603634.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác cho bên liên quan(Thuyết minh số 37.2),Trong đó: > Phải trả ngắn hạn khác cho bên liên quan(Thuyết minh số 37.2),Phải trả ngắn hạn khác cho bên liên quan(Thuyết minh số 37.2),2.969.693,5.701.880,2969693.0,5701880.0
Phải trả ngắn hạn khác cho các đối tác khác,Trong đó: > Phải trả ngắn hạn khác cho các đối tác khác,Phải trả ngắn hạn khác cho các đối tác khác,121.463.732,113.901.754,121463732.0,113901754.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận đặt cọc, góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh (vi)","Dài hạn > Nhận đặt cọc, góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh (vi)","Nhận đặt cọc, góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh (vi)",107.880.521,22.554.540,107880521.0,22554540.0
"Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bắt động sản (ii)","Dài hạn > Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bắt động sản (ii)","Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bắt động sản (ii)",10.577.268,3.052.651,10577268.0,3052651.0
Đặt cọc cho hoạt động đầu tư,Dài hạn > Đặt cọc cho hoạt động đầu tư,Đặt cọc cho hoạt động đầu tư,754.133,754.133,754133.0,754133.0
Phải trả khác,Dài hạn > Phải trả khác,Phải trả khác,3.873.808,2.048.746,3873808.0,2048746.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,123.085.730,28.410.070,123085730.0,28410070.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 37.2),Trong đó: > Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 37.2),Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 37.2),29.397.339,21.115.799,29397339.0,21115799.0
Phải trả dài hạn khác cho các đối tác khác,Trong đó: > Phải trả dài hạn khác cho các đối tác khác,Phải trả dài hạn khác cho các đối tác khác,93.688.391,7.294.271,93688391.0,7294271.0
