row_label_raw,row_label_full,Bên cho vay/thu xếp tín dụng > Ngân hàng TMCP Ngoại thương Việt NamTrong đó: vay dài hạn đến hạn trả > Cargill Financial Services > Ngân hàng Central Bank > Ngân hàng TMCP Quản dôiTrong đó: vay dài hạn đến hạn trả,Số cuối năm > Nguyên tệ > VND > USD > INR > VND,Số cuối năm > Triệu VND > 12.436.831 > 1.373.442 > 5.749.919 > 3.059.583 > 2.350.000,Ngày đảo hạn > Từ tháng 1 năm 2026 đến tháng 7 năm 2032 > Từ tháng 6 năm 2028 đến tháng 7 năm 2028 > Từ tháng 9 năm 2027 đến tháng 12 năm 2034 > Từ tháng 2 năm 2026 đến tháng 11 năm 2030,numeric__Số cuối năm > Nguyên tệ > VND > USD > INR > VND,numeric__Số cuối năm > Triệu VND > 12.436.831 > 1.373.442 > 5.749.919 > 3.059.583 > 2.350.000,numeric__Ngày đảo hạn > Từ tháng 1 năm 2026 đến tháng 7 năm 2032 > Từ tháng 6 năm 2028 đến tháng 7 năm 2028 > Từ tháng 9 năm 2027 đến tháng 12 năm 2034 > Từ tháng 2 năm 2026 đến tháng 11 năm 2030
Ngân hàng TMCP Quản dôiTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Quản dôiTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Quản dôiTrong đó: vay dài hạn đến hạn trả,VND,400.000,,,400000.0,
"Ngân hàng HSBC, Singapore BranchTrong đó: vay dài hạn đến hạn trả","Ngân hàng HSBC, Singapore BranchTrong đó: vay dài hạn đến hạn trả","Ngân hàng HSBC, Singapore BranchTrong đó: vay dài hạn đến hạn trả",USD,2.098.160,Tháng 10 năm 2026,,2098160.0,
"Ngân hàng HSBC, Singapore BranchTrong đó: vay dài hạn đến hạn trả","Ngân hàng HSBC, Singapore BranchTrong đó: vay dài hạn đến hạn trả","Ngân hàng HSBC, Singapore BranchTrong đó: vay dài hạn đến hạn trả",USD,2.098.160,,,2098160.0,
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,VND,2.000.000,Tháng 12 năm 2027,,2000000.0,
Ngân hàng TNHH Một thành viên Số Vikki,Ngân hàng TNHH Một thành viên Số Vikki,Ngân hàng TNHH Một thành viên Số Vikki,VND,1.955.808,Từ tháng 3 năm 2028 đến tháng 12 năm 2035,,1955808.0,
"Ngân hàng Woori Bank, Singapore BranchTrong đó: vay dài hạn đến hạn trả","Ngân hàng Woori Bank, Singapore BranchTrong đó: vay dài hạn đến hạn trả","Ngân hàng Woori Bank, Singapore BranchTrong đó: vay dài hạn đến hạn trả",USD,1.563.682,Tháng 10 năm 2026,,1563682.0,
"Ngân hàng Woori Bank, Singapore BranchTrong đó: vay dài hạn đến hạn trả","Ngân hàng Woori Bank, Singapore BranchTrong đó: vay dài hạn đến hạn trả","Ngân hàng Woori Bank, Singapore BranchTrong đó: vay dài hạn đến hạn trả",USD,1.563.682,,,1563682.0,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,VND,1.381.961,Từ tháng 1 năm 2027 đến tháng 5 năm 2045,,1381961.0,
Ngân hàng TMCP Đầu tư và Phát triển Việt NamTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Đầu tư và Phát triển Việt NamTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Đầu tư và Phát triển Việt NamTrong đó: vay dài hạn đến hạn trả,VND,1.190.882,Từ tháng 2 năm 2026 đến tháng 8 năm 2032,,1190882.0,
Ngân hàng TMCP Đầu tư và Phát triển Việt NamTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Đầu tư và Phát triển Việt NamTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Đầu tư và Phát triển Việt NamTrong đó: vay dài hạn đến hạn trả,VND,148.000,,,148000.0,
Công ty Tài chính Tổng hợp Cổ phần Điện lực,Công ty Tài chính Tổng hợp Cổ phần Điện lực,Công ty Tài chính Tổng hợp Cổ phần Điện lực,VND,1.000.000,Tháng 12 năm 2027,,1000000.0,
Ngân hàng TMCP Phát triển thành phố Hồ Chí MinhTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Phát triển thành phố Hồ Chí MinhTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Phát triển thành phố Hồ Chí MinhTrong đó: vay dài hạn đến hạn trả,VND,562.508,Từ tháng 1 năm 2026 đến tháng 12 năm 2035,,562508.0,
Ngân hàng TMCP Phát triển thành phố Hồ Chí MinhTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Phát triển thành phố Hồ Chí MinhTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Phát triển thành phố Hồ Chí MinhTrong đó: vay dài hạn đến hạn trả,VND,100.573,,,100573.0,
Ngân hàng TMCP Việt Nam Thịnh VươngTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh VươngTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh VươngTrong đó: vay dài hạn đến hạn trả,VND,408.349,Từ tháng 2 năm 2026 đến tháng 11 năm 2033,,408349.0,
Ngân hàng TMCP Việt Nam Thịnh VươngTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh VươngTrong đó: vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh VươngTrong đó: vay dài hạn đến hạn trả,VND,21.491,,,21491.0,
