row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Dự phòng chi phí bảo hành (i),Ngắn hạn > Dự phòng chi phí bảo hành (i),Dự phòng chi phí bảo hành (i),7.106.656,2.849.979,7106656.0,2849979.0
Dự phòng chi phí bồi thường hợp đồng (ii),Ngắn hạn > Dự phòng chi phí bồi thường hợp đồng (ii),Dự phòng chi phí bồi thường hợp đồng (ii),1.330.492,1.853.326,1330492.0,1853326.0
Dự phòng cho hợp đồng có rủi ro lớn (iii),Ngắn hạn > Dự phòng cho hợp đồng có rủi ro lớn (iii),Dự phòng cho hợp đồng có rủi ro lớn (iii),685.747,441.621,685747.0,441621.0
Dự phòng phải trả khác,Ngắn hạn > Dự phòng phải trả khác,Dự phòng phải trả khác,1.174.161,1.200.314,1174161.0,1200314.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,10.297.056,6.345.240,10297056.0,6345240.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Dự phòng chi phí bảo hành (i),Dài hạn > Dự phòng chi phí bảo hành (i),Dự phòng chi phí bảo hành (i),15.442.562,4.620.940,15442562.0,4620940.0
Dự phòng cho hợp đồng có rủi ro lớn (iii),Dài hạn > Dự phòng cho hợp đồng có rủi ro lớn (iii),Dự phòng cho hợp đồng có rủi ro lớn (iii),3.109.363,3.560.536,3109363.0,3560536.0
Dự phòng phải trả khác,Dài hạn > Dự phòng phải trả khác,Dự phòng phải trả khác,1.825.353,880.670,1825353.0,880670.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,20.377.278,9.062.146,20377278.0,9062146.0
