row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty GSM Indonesia,Công ty GSM Indonesia,Công ty GSM Indonesia,Chịu sự kiểm soát chung,Phải thu từ bán hàng,3.296.711,1.325.057,,,3296711.0,1325057.0
Công ty GSM,Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Phải thu từ bán hàng,2.671.536,2.188.494,,,2671536.0,2188494.0
Công ty GSM,Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Phải thu từ cung cấp dịch vụ,161.231,-,,,161231.0,
Công ty GSM Philippines,Công ty GSM Philippines,Công ty GSM Philippines,Chịu sự kiểm soát chung,Phải thu từ bán hàng,1.755.032,-,,,1755032.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Phải thu từ chia sẻ lợi nhuận hợp đồng hợp tác đầu tư,321.863,286.488,,,321863.0,286488.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Phải thu từ cung cấp dịch vụ,90.238,40.332,,,90238.0,40332.0
Công ty Green Future,Công ty Green Future,Công ty Green Future,Chịu sự kiểm soát chung,Phải thu từ bán hàng và hoạt động khác,170.954,51.710,,,170954.0,51710.0
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải thu từ chia sẻ lợi nhuận hợp đồng hợp tác đầu tư,219.893,88.526,,,219893.0,88526.0
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải thu từ cung cấp dịch vụ,78.222,-,,,78222.0,
Công ty V-G,Công ty V-G,Công ty V-G,Công ty liên doanh,Phải thu từ hợp đồng xây dựng,140.534,140.534,,,140534.0,140534.0
"Công Ty Cổ Phần Quản Lý và Đầu Tư Bất Đồng Sản VMI (""Công ty VMI"") (iii)","Công Ty Cổ Phần Quản Lý và Đầu Tư Bất Đồng Sản VMI (""Công ty VMI"") (iii)","Công Ty Cổ Phần Quản Lý và Đầu Tư Bất Đồng Sản VMI (""Công ty VMI"") (iii)",Chịu sự kiểm soát chung,Phải thu từ cung cấp dịch vụ,93.667,-,,,93667.0,
Công ty V-Green,Công ty V-Green,Công ty V-Green,Chịu sự kiểm soát chung,Phải thu từ chia sẻ lợi nhuận hợp đồng hợp tác kinh doanh,67.074,-,,,67074.0,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Các bên liên quan khác,Phải thu khác,32.331,107.942,,,32331.0,107942.0
,,,,,9.099.286,4.229.083,,,9099286.0,4229083.0
