row_label_raw,row_label_full,"Bên cho vay > Ngân hàng BNP Paribas > Ngân hàng Bank of China (HongKong) Limited – Chi nhánh Hồ Chí Minh > Standard Chartered Bank, Singapore > Ngân hàng Malayan Banking Berhad > Ngân hàng TMCP Bắc Ả > Ngân hàng TMCP Tiên Phong","Số cuối năm > Nguyên tệ > USD > VND > USD > VND, USD > VND",Số cuối năm > Triệu VND > 787.425 > 695.534 > 655.675 > 174.842 > 134.483 > 15.195,Ngày đáo hạn > Tháng 5 năm 2026 > Từ tháng 2 năm 2026 đến tháng 4 năm 2026 > Tháng 2 năm 2026 > Từ tháng 1 năm 2026 đến tháng 4 năm 2026 > Từ tháng 2 năm 2026 đến tháng 4 năm 2026 > Tháng 11 năm 2026,Tài sảnđảm bảo > (i) > (ii) > (i) > (ii),"numeric__Số cuối năm > Nguyên tệ > USD > VND > USD > VND, USD > VND",numeric__Số cuối năm > Triệu VND > 787.425 > 695.534 > 655.675 > 174.842 > 134.483 > 15.195,numeric__Ngày đáo hạn > Tháng 5 năm 2026 > Từ tháng 2 năm 2026 đến tháng 4 năm 2026 > Tháng 2 năm 2026 > Từ tháng 1 năm 2026 đến tháng 4 năm 2026 > Từ tháng 2 năm 2026 đến tháng 4 năm 2026 > Tháng 11 năm 2026,numeric__Tài sảnđảm bảo > (i) > (ii) > (i) > (ii)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,68.191.514,,,,68191514.0,,
Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2025 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2025 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2025 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2025 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2025 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2025 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2025 như sau:,,,,
Khoản vay,Khoản vay,Khoản vay,Nguyên tệ,Lãi suất,,,,,,
Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,VND,"Lãi suất cố định, lãi suất trong năm từ 5,5%/năm đến 15%/nămLãi suất thả nổi, lãi suất trong năm từ 5,7%/năm đến 14,3%/năm",,,,,,
Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,VND,"Lãi suất cố định, lãi suất trong năm từ 5,7%/năm đến 7,15%/năm",,,,,,
Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,USD,"Lãi suất cố định, lãi suất trong năm 6,81%/nămLãi suất thả nổi, lãi suất trong năm 7,17%/năm",,,,,,
Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,USD,"Lãi suất cố định, lãi suất trong năm 7,1%/nămLãi suất thả nổi, lãi suất trong năm từ 5,83%/năm đến 6,53%/năm",,,,,,
