row_label_raw,row_label_full,col_0,Kinh doanhchuyên nhượngbắt động sản,"Kinh doanh dịchvụ khách sạn du lịch, vui chơi giàitrí và các dịch vụliên quan",Hoạt động y tế vàcác dịch vụliên quan,Hoạt động giáođục và các dịchvụ liên quan,Hoạt động sản xuất và các hoạtđộng liên quan,Hoạt động kinhdoanh khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanhchuyên nhượngbắt động sản,"numeric__Kinh doanh dịchvụ khách sạn du lịch, vui chơi giàitrí và các dịch vụliên quan",numeric__Hoạt động y tế vàcác dịch vụliên quan,numeric__Hoạt động giáođục và các dịchvụ liên quan,numeric__Hoạt động sản xuất và các hoạtđộng liên quan,numeric__Hoạt động kinhdoanh khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,
Doanh thu thuần cho bên thử ba,Doanh thu thuần > Doanh thu thuần cho bên thử ba,Doanh thu thuần cho bên thử ba,93.173.685,8.642.192,4.487.050,5.944.423,49.696.268,27.124.422,-,189.068.040,93173685.0,8642192.0,4487050.0,5944423.0,49696268.0,27124422.0,,189068040.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,150.700,129.679,10.565,5.584,10.784.820,(11.081.348),-,,150700.0,129679.0,10565.0,5584.0,10784820.0,-11081348.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,93.173.685,8.792.892,4.616.729,5.954.988,49.701.852,37.909.242,(11.081.348),189.068.040,93173685.0,8792892.0,4616729.0,5954988.0,49701852.0,37909242.0,-11081348.0,189068040.0
Kết quả hoạt động kinh doanhKhẩu hao và hao món (bao gồm lợi thế thương mại),Doanh thu thuần > Kết quả hoạt động kinh doanhKhẩu hao và hao món (bao gồm lợi thế thương mại),Kết quả hoạt động kinh doanhKhẩu hao và hao món (bao gồm lợi thế thương mại),498.773,3.602.422,596.894,437.549,15.655.889,1.835.597,-,22.627.124,498773.0,3602422.0,596894.0,437549.0,15655889.0,1835597.0,,22627124.0
Phần được chia tử (lỗ)/lãi củacông ty liên kết và liên doanh,Doanh thu thuần > Phần được chia tử (lỗ)/lãi củacông ty liên kết và liên doanh,Phần được chia tử (lỗ)/lãi củacông ty liên kết và liên doanh,-,-,-,-,(52.033),900.806,-,848.773,,,,,-52033.0,900806.0,,848773.0
Thu nhập/(lỗ) thuần trước thuế theo bộ phận,Doanh thu thuần > Thu nhập/(lỗ) thuần trước thuế theo bộ phận,Thu nhập/(lỗ) thuần trước thuế theo bộ phận,31.034.296,(1.294.486),(935.198),716.660,(42.199.470),7.356.958,678.320,(4.642.920)21.381.626,31034296.0,-1294486.0,-935198.0,716660.0,-42199470.0,7356958.0,678320.0,
Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,
Tài sản theo bộ phận,Tài sản và công nợ > Tài sản theo bộ phận,Tài sản theo bộ phận,439.991.559,60.529.482,9.337.292,12.659.643,189.635.180,66.513.230,(30.618.651),748.047.735,439991559.0,60529482.0,9337292.0,12659643.0,189635180.0,66513230.0,-30618651.0,748047735.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,88.556.168,,,,,,,,88556168.0
Nợ phải trả theo bộ phận,Tài sản và công nợ > Nợ phải trả theo bộ phận,Nợ phải trả theo bộ phận,295.695.743,11.970.048,2.443.052,4.075.435,57.850.816,62.933.272,(30.618.651),404.349.715,295695743.0,11970048.0,2443052.0,4075435.0,57850816.0,62933272.0,-30618651.0,404349715.0
Nợ phải trả không phân bổ,Tài sản và công nợ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,278.419.707,,,,,,,,278419707.0
Các thông tin bộ phận khácĐầu tư vào công ty liên kết vàliên doanh,Tài sản và công nợ > Các thông tin bộ phận khácĐầu tư vào công ty liên kết vàliên doanh,Các thông tin bộ phận khácĐầu tư vào công ty liên kết vàliên doanh,-,-,-,-,1.166.003,8.055.743,-,9.221.746,,,,,1166003.0,8055743.0,,9221746.0
Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,Tài sản và công nợ > Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,21.808.205,7.796.815,1.130.093,2.197.305,21.921.646,9.722.790,-,64.576.854,21808205.0,7796815.0,1130093.0,2197305.0,21921646.0,9722790.0,,64576854.0
