row_label_raw,row_label_full,col_0,Don vị tính: triệu VND,Don vị tính: triệu VND_1,numeric__Don vị tính: triệu VND,numeric__Don vị tính: triệu VND_1
,,,Năm nay,Năm trước,,
Số tiền đi vay thực thu trong năm,Số tiền đi vay thực thu trong năm,Số tiền đi vay thực thu trong năm,Số tiền đi vay thực thu trong năm,Số tiền đi vay thực thu trong năm,,
Tiền thu từ đi vay theo khế ước thông thường,Số tiền đi vay thực thu trong năm > Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,215.908.165,112.622.431,215908165.0,112622431.0
Tiền thu từ phát hành trái phiếu thường,Số tiền đi vay thực thu trong năm > Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,63.076.781,41.564.854,63076781.0,41564854.0
Tiền thu từ phát hành trái phiếu hoán đổi,Số tiền đi vay thực thu trong năm > Tiền thu từ phát hành trái phiếu hoán đổi,Tiền thu từ phát hành trái phiếu hoán đổi,8.564.904,3.518.483,8564904.0,3518483.0
Số tiền đã thực trả gốc vay trong năm (*),Số tiền đã thực trả gốc vay trong năm (*),Số tiền đã thực trả gốc vay trong năm (*),Số tiền đã thực trả gốc vay trong năm (*),Số tiền đã thực trả gốc vay trong năm (*),,
Tiền trả nợ gốc vay theo khế ước thông thường,Số tiền đã thực trả gốc vay trong năm (*) > Tiền trả nợ gốc vay theo khế ước thông thường,Tiền trả nợ gốc vay theo khế ước thông thường,(159.106.067),(97.941.591),-159106067.0,-97941591.0
Tiền trả nợ gốc trái phiếu thường,Số tiền đã thực trả gốc vay trong năm (*) > Tiền trả nợ gốc trái phiếu thường,Tiền trả nợ gốc trái phiếu thường,(17.312.416),(24.915.000),-17312416.0,-24915000.0
Tiền mua lại trái phiếu hoán đổi,Số tiền đã thực trả gốc vay trong năm (*) > Tiền mua lại trái phiếu hoán đổi,Tiền mua lại trái phiếu hoán đổi,(8.936.749),(27.081.153),-8936749.0,-27081153.0
Tiền trả nợ khoản vay chuyển đổi,Số tiền đã thực trả gốc vay trong năm (*) > Tiền trả nợ khoản vay chuyển đổi,Tiền trả nợ khoản vay chuyển đổi,-,(1.212.500),,-1212500.0
