row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,"Bản quyền, chi phí phát triển và các tài sản khác",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,"numeric__Bản quyền, chi phí phát triển và các tài sản khác",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,564.979,4.490.606,53.624.004,2.696.720,61.376.309,564979.0,4490606.0,53624004.0,2696720.0,61376309.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,103.522,744.434,83.229,931.185,,103522.0,744434.0,83229.0,931185.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),-,307.710,7.648.757,162.521,8.118.988,,307710.0,7648757.0,162521.0,8118988.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,39.483,328.765,(1.020.235),(420.657),(1.072.644),39483.0,328765.0,-1020235.0,-420657.0,-1072644.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,604.462,5.230.603,60.996.960,2.521.813,69.353.838,604462.0,5230603.0,60996960.0,2521813.0,69353838.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,123,1.497.022,8.991.476,96.983,10.585.604,123.0,1497022.0,8991476.0,96983.0,10585604.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,170.894,2.601.054,20.391.624,801.627,23.965.199,170894.0,2601054.0,20391624.0,801627.0,23965199.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,25.566,636.603,8.826.151,265.631,9.753.951,25566.0,636603.0,8826151.0,265631.0,9753951.0
Thay đổi khác,Giá trị hao mòn lũy kế: > Thay đổi khác,Thay đổi khác,-,278.851,(617.649),(359.368),(698.166),,278851.0,-617649.0,-359368.0,-698166.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,196.460,3.516.508,28.600.126,707.890,33.020.984,196460.0,3516508.0,28600126.0,707890.0,33020984.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,394.085,1.889.552,33.232.380,1.895.093,37.411.110,394085.0,1889552.0,33232380.0,1895093.0,37411110.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,408.002,1.714.095,32.396.834,1.813.923,36.332.854,408002.0,1714095.0,32396834.0,1813923.0,36332854.0
