row_label_raw,row_label_full,Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đã hoàn thành > Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đang thực hiện,Đơn vị tính: triệu VND > Năm nay > 2.328.857 > 13.337.759,Đơn vị tính: triệu VND > Năm trước > 3.714.582 > 10.611.377,numeric__Đơn vị tính: triệu VND > Năm nay > 2.328.857 > 13.337.759,numeric__Đơn vị tính: triệu VND > Năm trước > 3.714.582 > 10.611.377
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,15.666.616,14.325.959,15666616.0,14325959.0
Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối năm,20.793.340,12.689.074,20793340.0,12689074.0
