row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Trích trước chi phí xây dựng bất động sản, các tài sản khác và trích trước chi phí phát triển các bất động sản đã được bàn giao","Ngắn hạn > Trích trước chi phí xây dựng bất động sản, các tài sản khác và trích trước chi phí phát triển các bất động sản đã được bàn giao","Trích trước chi phí xây dựng bất động sản, các tài sản khác và trích trước chi phí phát triển các bất động sản đã được bàn giao",73.359.040,42.613.023,73359040.0,42613023.0
Chi phí bán hàng trích trước (i),Ngắn hạn > Chi phí bán hàng trích trước (i),Chi phí bán hàng trích trước (i),15.161.890,11.528.233,15161890.0,11528233.0
Chi phí lãi cọc và lãi vay trích trước,Ngắn hạn > Chi phí lãi cọc và lãi vay trích trước,Chi phí lãi cọc và lãi vay trích trước,3.842.621,3.337.283,3842621.0,3337283.0
Các khoản chi phí phải trả khác,Ngắn hạn > Các khoản chi phí phải trả khác,Các khoản chi phí phải trả khác,6.481.205,4.101.542,6481205.0,4101542.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,98.844.756,61.580.081,98844756.0,61580081.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả cho bên liên quan(Thuyết minh số 37.2),Trong đó: > Chi phí phải trả cho bên liên quan(Thuyết minh số 37.2),Chi phí phải trả cho bên liên quan(Thuyết minh số 37.2),289.755,280.667,289755.0,280667.0
Chi phí phải trả cho các đối tác khác,Trong đó: > Chi phí phải trả cho các đối tác khác,Chi phí phải trả cho các đối tác khác,98.555.001,61.299.414,98555001.0,61299414.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí bán hàng trích trước (i),Dài hạn > Chi phí bán hàng trích trước (i),Chi phí bán hàng trích trước (i),2.625.420,259.397,2625420.0,259397.0
Các khoản chi phí phải trả khác,Dài hạn > Các khoản chi phí phải trả khác,Các khoản chi phí phải trả khác,247.967,388.860,247967.0,388860.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.873.387,648.257,2873387.0,648257.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả cho bên liên quan(Thuyết minh số 37.2),Trong đó: > Chi phí phải trả cho bên liên quan(Thuyết minh số 37.2),Chi phí phải trả cho bên liên quan(Thuyết minh số 37.2),-,55.318,,55318.0
Chi phí phải trả cho các đối tác khác,Trong đó: > Chi phí phải trả cho các đối tác khác,Chi phí phải trả cho các đối tác khác,2.873.387,592.939,2873387.0,592939.0
