row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Tạm ứng tiền giải phóng mặt bằng (i),Ngắn hạn > Tạm ứng tiền giải phóng mặt bằng (i),Tạm ứng tiền giải phóng mặt bằng (i),91.118.012,65.780.534,91118012.0,65780534.0
Tạm ứng theo hợp đồng hợp tác đầu tư và kinh doanh (ii),Ngắn hạn > Tạm ứng theo hợp đồng hợp tác đầu tư và kinh doanh (ii),Tạm ứng theo hợp đồng hợp tác đầu tư và kinh doanh (ii),16.055.622,27.033.653,16055622.0,27033653.0
Phải thu hợp đồng Xây dựng-Chuyển giao (iii),Ngắn hạn > Phải thu hợp đồng Xây dựng-Chuyển giao (iii),Phải thu hợp đồng Xây dựng-Chuyển giao (iii),10.079.466,10.079.466,10079466.0,10079466.0
Phải thu từ thanh lý hợp đồng đặt cọc,Ngắn hạn > Phải thu từ thanh lý hợp đồng đặt cọc,Phải thu từ thanh lý hợp đồng đặt cọc,8.639.574,6.275.000,8639574.0,6275000.0
"Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc,cho vay và các hợp đồng, thỏa thuận khác","Ngắn hạn > Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc,cho vay và các hợp đồng, thỏa thuận khác","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc,cho vay và các hợp đồng, thỏa thuận khác",5.098.380,3.425.090,5098380.0,3425090.0
"Đặt cọc, ký quỹ cho mục đích phát triển dự án và thựchiện hợp đồng (iv)","Ngắn hạn > Đặt cọc, ký quỹ cho mục đích phát triển dự án và thựchiện hợp đồng (iv)","Đặt cọc, ký quỹ cho mục đích phát triển dự án và thựchiện hợp đồng (iv)",1.681.456,2.138.246,1681456.0,2138246.0
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,6.952.795,4.523.271,6952795.0,4523271.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,139.625.305,119.255.260,139625305.0,119255260.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 37.2),Trong đó: > Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 37.2),Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 37.2),437.728,672.617,437728.0,672617.0
Phải thu ngắn hạn khác từ các đối tác khác,Trong đó: > Phải thu ngắn hạn khác từ các đối tác khác,Phải thu ngắn hạn khác từ các đối tác khác,139.187.577,118.582.643,139187577.0,118582643.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Góp vốn cho mục đích hợp tác đầu tư (v),Dài hạn > Góp vốn cho mục đích hợp tác đầu tư (v),Góp vốn cho mục đích hợp tác đầu tư (v),14.955.092,6.778.912,14955092.0,6778912.0
"Đặt cọc, ký quỹ cho mục đích phát triển dự án và thựchiện hợp đồng (vi)","Dài hạn > Đặt cọc, ký quỹ cho mục đích phát triển dự án và thựchiện hợp đồng (vi)","Đặt cọc, ký quỹ cho mục đích phát triển dự án và thựchiện hợp đồng (vi)",3.013.970,1.551.698,3013970.0,1551698.0
Tạm ứng tiền giải phóng mặt bằng (i),Dài hạn > Tạm ứng tiền giải phóng mặt bằng (i),Tạm ứng tiền giải phóng mặt bằng (i),-,48.000.000,,48000000.0
Phải thu khác,Dài hạn > Phải thu khác,Phải thu khác,765.473,1.242.874,765473.0,1242874.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,18.734.535,57.573.484,18734535.0,57573484.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu dài hạn khác từ bên liên quan(Thuyết minh số 37.2),Trong đó: > Phải thu dài hạn khác từ bên liên quan(Thuyết minh số 37.2),Phải thu dài hạn khác từ bên liên quan(Thuyết minh số 37.2),9.569.427,6.791.672,9569427.0,6791672.0
Phải thu dài hạn khác từ các đối tác khác,Trong đó: > Phải thu dài hạn khác từ các đối tác khác,Phải thu dài hạn khác từ các đối tác khác,9.165.108,50.781.812,9165108.0,50781812.0
Dự phòng phải thu khó đòi,Trong đó: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(222.892),(219.158),-222892.0,-219158.0
