row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Công ty V-Green,Công ty V-Green,Công ty V-Green,Chịu sự kiểm soát chung,Phải thu từ chi hộ,164.495,367.122,,,164495.0,367122.0
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải thu từ lãi cọc hợp đồng hợp tác đầu tư,66.060,-,,,66060.0,
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải thu từ chi hộ,-,25.297,,,,25297.0
Công ty TNHH Phát triển Công viên Trung tâm,Công ty TNHH Phát triển Công viên Trung tâm,Công ty TNHH Phát triển Công viên Trung tâm,Chịu sự kiểm soát chung,Phải thu từ chia sẻ lợi nhuận hợp đồng hợp tác kinh doanh,52.080,51.326,,,52080.0,51326.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Các bên liên quan khác,Phải thu khác,155.093,228.872,,,155093.0,228872.0
,,,,,437.728,672.617,,,437728.0,672617.0
Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),Phải thu dài hạn khác (Thuyết minh số 9),,,,
Công ty Vận hành Vincom Retail,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Góp vốn cho mục đích hợp tác đầu tư,6.374.659,1.801.040,,,6374659.0,1801040.0
Công ty Vận hành Vincom Retail,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải thu khác,9.335,12.761,,,9335.0,12761.0
Công ty Vincom Retail,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Góp vốn cho mục đích hợp tác đầu tư,3.092.727,4.503.823,,,3092727.0,4503823.0
Công ty Vincom Retail,Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Phải thu từ hợp đồng cho thuê tài chính,92.706,92.706,,,92706.0,92706.0
Công ty Suối Hoa (i),Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Suối Hoa (i),Công ty Suối Hoa (i),Công ty liên kết,Góp vốn cho mục đích hợp tác đầu tư,-,381.342,,,,381342.0
,,,,,9.569.427,6.791.672,,,9569427.0,6791672.0
