row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối (*),Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối (*),numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,38.785.833,40.308.020,15.306.530,(1.344.123),(235.621),107.845,44.468.350,16.437.647,153.834.481,38785833.0,40308020.0,15306530.0,-1344123.0,-235621.0,107845.0,44468350.0,16437647.0,153834481.0
- Tăng vốn (i),Năm nay > - Tăng vốn (i),- Tăng vốn (i),38.549.086,(38.549.086),-,-,-,-,-,-,-,38549086.0,-38549086.0,,,,,,,
- Lợi nhuận/(lỗ) thuần trong năm,Năm nay > - Lợi nhuận/(lỗ) thuần trong năm,- Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,-,-,11.349.934,(285.120),11.064.814,,,,,,,11349934.0,-285120.0,11064814.0
- Chuyển nhượng công ty con (ii),Năm nay > - Chuyển nhượng công ty con (ii),- Chuyển nhượng công ty con (ii),-,-,-,-,-,-,842.828,42.062,884.890,,,,,,,842828.0,42062.0,884890.0
- Mua công ty con mới,Năm nay > - Mua công ty con mới,- Mua công ty con mới,-,-,-,-,-,-,-,193.677,193.677,,,,,,,,193677.0,193677.0
- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát và góp vốn từ cổ đông không kiểm soát (iii),Năm nay > - Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát và góp vốn từ cổ đông không kiểm soát (iii),- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát và góp vốn từ cổ đông không kiểm soát (iii),-,278.235,-,-,-,-,(2.375.050),(9.853.153),(11.949.968),,278235.0,,,,,-2375050.0,-9853153.0,-11949968.0
- Cổ tức chia bởi công ty con cho cổ đông không kiểm soát (iv),Năm nay > - Cổ tức chia bởi công ty con cho cổ đông không kiểm soát (iv),- Cổ tức chia bởi công ty con cho cổ đông không kiểm soát (iv),-,-,-,-,-,-,-,(2.579.138),(2.579.138),,,,,,,,-2579138.0,-2579138.0
- Thay đổi khác,Năm nay > - Thay đổi khác,- Thay đổi khác,-,-,-,-,72.236,10.000,(8.675),(33.382),40.179,,,,,72236.0,10000.0,-8675.0,-33382.0,40179.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,77.334.919,2.037.169,15.306.530,(1.344.123),(163.385),117.845,54.277.387,3.922.593,151.488.935,77334919.0,2037169.0,15306530.0,-1344123.0,-163385.0,117845.0,54277387.0,3922593.0,151488935.0
