row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ chuyển nhượng bất động sản,Ngắn hạn > Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,13.308.759,13.451.812,13308759.0,13451812.0
Phải thu từ bán hàng sản xuất và các hoạt động liên quan,Ngắn hạn > Phải thu từ bán hàng sản xuất và các hoạt động liên quan,Phải thu từ bán hàng sản xuất và các hoạt động liên quan,12.630.416,9.346.581,12630416.0,9346581.0
Phải thu từ dịch vụ tư vấn bản hàng và môi giới bất động sản,Ngắn hạn > Phải thu từ dịch vụ tư vấn bản hàng và môi giới bất động sản,Phải thu từ dịch vụ tư vấn bản hàng và môi giới bất động sản,4.211.012,1.920.030,4211012.0,1920030.0
Phải thu từ hoạt động tổng thầu xây dựng và các dịch vụ liên quan,Ngắn hạn > Phải thu từ hoạt động tổng thầu xây dựng và các dịch vụ liên quan,Phải thu từ hoạt động tổng thầu xây dựng và các dịch vụ liên quan,2.899.087,1.836.591,2899087.0,1836591.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Ngắn hạn > Phải thu từ cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp các dịch vụ liên quan,612.598,590.546,612598.0,590546.0
Phải thu từ cung cấp dịch vụ y tế và các dịch vụ liên quan,Ngắn hạn > Phải thu từ cung cấp dịch vụ y tế và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ y tế và các dịch vụ liên quan,370.694,353.562,370694.0,353562.0
"Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Ngắn hạn > Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",253.308,362.919,253308.0,362919.0
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,1.461.468,1.218.875,1461468.0,1218875.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,35.747.342,29.080.916,35747342.0,29080916.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu từ bên liên quan(Thuyết minh số 37.2),Trong đó: > Phải thu từ bên liên quan(Thuyết minh số 37.2),Phải thu từ bên liên quan(Thuyết minh số 37.2),9.099.286,4.229.083,9099286.0,4229083.0
Phải thu từ khách hàng khác,Trong đó: > Phải thu từ khách hàng khác,Phải thu từ khách hàng khác,26.648.056,24.851.833,26648056.0,24851833.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải thu từ các hợp đồng cho thuê tài chính pin xe điện và các hoạt động liên quan,Dài hạn > Phải thu từ các hợp đồng cho thuê tài chính pin xe điện và các hoạt động liên quan,Phải thu từ các hợp đồng cho thuê tài chính pin xe điện và các hoạt động liên quan,772.573,1.631.637,772573.0,1631637.0
Phải thu khác,Dài hạn > Phải thu khác,Phải thu khác,35.596,-,35596.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,808.169,1.631.637,808169.0,1631637.0
Dự phòng phải thu khó đòi,Dài hạn > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(328.428),(251.512),-328428.0,-251512.0
