row_label_raw,row_label_full,col_0,Don vị tính: triệu VND,Don vị tính: triệu VND_1,numeric__Don vị tính: triệu VND,numeric__Don vị tính: triệu VND_1
,,,Năm nay,Năm trước,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,25.161.233,10.068.646,25161233.0,10068646.0
Thu nhập từ tài trợ (i),Thu nhập từ tài trợ (i),Thu nhập từ tài trợ (i),23.054.157,8.366.217,23054157.0,8366217.0
Tiền phạt thu được,Tiền phạt thu được,Tiền phạt thu được,708.922,963.552,708922.0,963552.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.398.154,738.877,1398154.0,738877.0
Chi phí khác,Chi phí khác,Chi phí khác,6.661.237,4.994.702,6661237.0,4994702.0
"Lỗ từ thanh lý, nhượng bán và xóa số tải sản cố định","Lỗ từ thanh lý, nhượng bán và xóa số tải sản cố định","Lỗ từ thanh lý, nhượng bán và xóa số tải sản cố định",2.994.348,1.372.415,2994348.0,1372415.0
Các khoản phạt,Các khoản phạt,Các khoản phạt,2.818.505,2.739.463,2818505.0,2739463.0
Chi phí khác,Chi phí khác,Chi phí khác,848.384,882.824,848384.0,882824.0
LỢI NHUẬN KHÁC,LỢI NHUẬN KHÁC,LỢI NHUẬN KHÁC,18.499.996,5.073.944,18499996.0,5073944.0
