row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị vănphòng,Tài sản cố địnhkhác,Đơn vị tính: triệu VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị vănphòng,numeric__Tài sản cố địnhkhác,numeric__Đơn vị tính: triệu VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,83.455.099,102.820.987,6.397.533,1.380.092,2.813.161,196.866.872,83455099.0,102820987.0,6397533.0,1380092.0,2813161.0,196866872.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,53.083,3.772.451,1.809.629,169.221,87.773,5.892.157,53083.0,3772451.0,1809629.0,169221.0,87773.0,5892157.0
Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Xây dựng cơ bản hoàn thành (Thuyết minh số 18),16.954.620,12.871.828,544.029,161.155,26.042,30.557.674,16954620.0,12871828.0,544029.0,161155.0,26042.0,30557674.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(16.361),(1.393.709),(581.440),(76.374),(20.306),(2.088.190),-16361.0,-1393709.0,-581440.0,-76374.0,-20306.0,-2088190.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(1.116.709),(352.162),(192.003),(219.384),(315.794),(2.196.052),-1116709.0,-352162.0,-192003.0,-219384.0,-315794.0,-2196052.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,99.329.732,117.719.395,7.977.748,1.414.710,2.590.876,229.032.461,99329732.0,117719395.0,7977748.0,1414710.0,2590876.0,229032461.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,898.478,9.623.451,386.860,329.460,578.076,11.816.325,898478.0,9623451.0,386860.0,329460.0,578076.0,11816325.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,13.516.611,33.592.287,1.814.782,815.075,1.822.147,51.560.902,13516611.0,33592287.0,1814782.0,815075.0,1822147.0,51560902.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,3.933.027,14.691.639,832.619,145.036,431.917,20.034.238,3933027.0,14691639.0,832619.0,145036.0,431917.0,20034238.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.536),(229.247),(150.776),(13.245),(11.299),(413.103),-8536.0,-229247.0,-150776.0,-13245.0,-11299.0,-413103.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,(384.359),(387.293),(114.968),(101.777),(75.337),(1.063.734),-384359.0,-387293.0,-114968.0,-101777.0,-75337.0,-1063734.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,17.056.743,47.667.386,2.381.657,845.089,2.167.428,70.118.303,17056743.0,47667386.0,2381657.0,845089.0,2167428.0,70118303.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,69.938.488,69.228.700,4.582.751,565.017,991.014,145.305.970,69938488.0,69228700.0,4582751.0,565017.0,991014.0,145305970.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,82.272.989,70.052.009,5.596.091,569.621,423.448,158.914.158,82272989.0,70052009.0,5596091.0,569621.0,423448.0,158914158.0
