row_label_raw,row_label_full,col_0,"Quyền sử dụngđất và nhà cửa,vật kiến trúc","Máy móc, thiết bị",Tổng cộng,"numeric__Quyền sử dụngđất và nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,14.213.704,1.791.592,16.005.296,14213704.0,1791592.0,16005296.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),7.196.652,807.987,8.004.639,7196652.0,807987.0,8004639.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.112.574),(5.310),(1.117.884),-1112574.0,-5310.0,-1117884.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(224.555),13.937,(210.618),-224555.0,13937.0,-210618.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,20.073.227,2.608.206,22.681.433,20073227.0,2608206.0,22681433.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,293.279,293.279,,293279.0,293279.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,1.682.377,1.289.501,2.971.878,1682377.0,1289501.0,2971878.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,445.326,186.278,631.604,445326.0,186278.0,631604.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(247.713),(103),(247.816),-247713.0,-103.0,-247816.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,(11.419),(16.434),(27.853),-11419.0,-16434.0,-27853.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,1.868.571,1.459.242,3.327.813,1868571.0,1459242.0,3327813.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,12.531.327,502.091,13.033.418,12531327.0,502091.0,13033418.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,18.204.656,1.148.964,19.353.620,18204656.0,1148964.0,19353620.0
