row_label_raw,row_label_full,col_0,Kinh doanhchuyén nhượngbắt động sản,"Kinh doanh dịchvụ khách sạn du lịch, vui chơi giàitri và các dịch vụliên quan",Hoạt động y tế vàcác dịch vụliên quan,Hoạt động giáođục và các dịchvụ liên quan,Hoạt động sản xuất và các hoạtđộng liên quan,Hoạt động kinhdoanh khác,Điều chỉnh và loại trừ,Đơn vị tính: triệu VND,numeric__Kinh doanhchuyén nhượngbắt động sản,"numeric__Kinh doanh dịchvụ khách sạn du lịch, vui chơi giàitri và các dịch vụliên quan",numeric__Hoạt động y tế vàcác dịch vụliên quan,numeric__Hoạt động giáođục và các dịchvụ liên quan,numeric__Hoạt động sản xuất và các hoạtđộng liên quan,numeric__Hoạt động kinhdoanh khác,numeric__Điều chỉnh và loại trừ,numeric__Đơn vị tính: triệu VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,
Doanh thu thuần cho bên thử ba,Doanh thu thuần > Doanh thu thuần cho bên thử ba,Doanh thu thuần cho bên thử ba,180.747.386,11.475.904,5.362.135,6.690.821,91.049.948,36.511.367,-,331.837.561,180747386.0,11475904.0,5362135.0,6690821.0,91049948.0,36511367.0,,331837561.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,306.884,191.933,1.164,520.038,7.359.045,(8.379.064),-,,306884.0,191933.0,1164.0,520038.0,7359045.0,-8379064.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,180.747.386,11.782.788,5.554.068,6.691.985,91.569.986,43.870.412,(8.379.064),331.837.561,180747386.0,11782788.0,5554068.0,6691985.0,91569986.0,43870412.0,-8379064.0,331837561.0
Kết quả hoạt động kinh doanhKhấu hao và hao mòn (bao gồmlợi thế thương mại),Doanh thu thuần > Kết quả hoạt động kinh doanhKhấu hao và hao mòn (bao gồmlợi thế thương mại),Kết quả hoạt động kinh doanhKhấu hao và hao mòn (bao gồmlợi thế thương mại),436.171,3.885.414,628.152,456.048,23.736.226,2.523.236,-,31.665.247,436171.0,3885414.0,628152.0,456048.0,23736226.0,2523236.0,,31665247.0
Phần được chia tử (lỗ)/lãi củacống ty liên kết và liên doanh,Doanh thu thuần > Phần được chia tử (lỗ)/lãi củacống ty liên kết và liên doanh,Phần được chia tử (lỗ)/lãi củacống ty liên kết và liên doanh,-,-,-,-,(82.066),1.220.259,-,1.138.193,,,,,-82066.0,1220259.0,,1138193.0
Thu nhập/(lỗ) thuần trước thuếtheo bộ phận,Doanh thu thuần > Thu nhập/(lỗ) thuần trước thuếtheo bộ phận,Thu nhập/(lỗ) thuần trước thuếtheo bộ phận,66.788.843,(279.689),(630.327),449.245,(68.113.273),9.116.203,261.898,7.592.900,66788843.0,-279689.0,-630327.0,449245.0,-68113273.0,9116203.0,261898.0,7592900.0
Thu nhập thuần không phân bổ,Doanh thu thuần > Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,,18.844.475,,,,,,,,18844475.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,
Tài sản theo bộ phận,Tài sản và công nợ > Tài sản theo bộ phận,Tài sản theo bộ phận,743.100.224,77.372.760,10.674.104,22.846.863,216.216.081,102.502.680,(135.508.261),1.037.204.451,743100224.0,77372760.0,10674104.0,22846863.0,216216081.0,102502680.0,-135508261.0,1037204451.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,81.418.174,,,,,,,,81418174.0
Nợ phải trả theo bộ phận,Tài sản và công nợ > Nợ phải trả theo bộ phận,Nợ phải trả theo bộ phận,425.246.116,10.162.556,2.362.814,5.367.361,98.791.708,182.839.940,(135.508.261),589.262.234,425246116.0,10162556.0,2362814.0,5367361.0,98791708.0,182839940.0,-135508261.0,589262234.0
Nợ phải trả không phân bổ,Tài sản và công nợ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,377.871.456,,,,,,,,377871456.0
Các thông tin bộ phận khácĐầu tư vào công ty liên kết vàliên doanh,Tài sản và công nợ > Các thông tin bộ phận khácĐầu tư vào công ty liên kết vàliên doanh,Các thông tin bộ phận khácĐầu tư vào công ty liên kết vàliên doanh,-,-,-,-,1.083.937,9.354.035,-,10.437.972,,,,,1083937.0,9354035.0,,10437972.0
Chi phí mua sắm TSCĐ và xâydựng cơ bản tăng trong năm,Tài sản và công nợ > Chi phí mua sắm TSCĐ và xâydựng cơ bản tăng trong năm,Chi phí mua sắm TSCĐ và xâydựng cơ bản tăng trong năm,18.361.305,7.682.284,1.826.278,3.498.756,36.406.888,20.800.895,-,88.576.406,18361305.0,7682284.0,1826278.0,3498756.0,36406888.0,20800895.0,,88576406.0
