row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệ sở hữu (%),Số cuối năm > Tỷ lệ biểu quyết (%),Số cuối năm > Giá gốc (triệu VND),Số cuối năm > Dự phòng (triệu VND),Số cuối năm > Giá trị hợp lý (triệu VND),Số dấu năm > Tỷ lệ sở hữu (%),Số dấu năm > Tỷ lệ biểu quyết (%),Số dấu năm > Giá gốc (triệu VND),Số dấu năm > Dự phòng (triệu VND),Số dấu năm > Giá trị hợp lý (triệu VND),numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Tỷ lệ biểu quyết (%),numeric__Số cuối năm > Giá gốc (triệu VND),numeric__Số cuối năm > Dự phòng (triệu VND),numeric__Số cuối năm > Giá trị hợp lý (triệu VND),numeric__Số dấu năm > Tỷ lệ sở hữu (%),numeric__Số dấu năm > Tỷ lệ biểu quyết (%),numeric__Số dấu năm > Giá gốc (triệu VND),numeric__Số dấu năm > Dự phòng (triệu VND),numeric__Số dấu năm > Giá trị hợp lý (triệu VND)
"Công ty Cổ phần Năng lượng VinEnergo (""Công ty VinEnergo"") (i)","Công ty Cổ phần Năng lượng VinEnergo (""Công ty VinEnergo"") (i)","Công ty Cổ phần Năng lượng VinEnergo (""Công ty VinEnergo"") (i)","19,00","19,00",5.383.650,-,(*),-,-,-,-,-,19.0,19.0,5383650.0,,,,,,,
"Công ty Cổ phần Đầu tư và Phát triển Đường sắt cao tốc VinSpeed (""Công ty VinSpeed"") (i)","Công ty Cổ phần Đầu tư và Phát triển Đường sắt cao tốc VinSpeed (""Công ty VinSpeed"") (i)","Công ty Cổ phần Đầu tư và Phát triển Đường sắt cao tốc VinSpeed (""Công ty VinSpeed"") (i)","10,00","10,00",4.500.000,-,(*),-,-,-,-,-,10.0,10.0,4500000.0,,,,,,,
Công ty Cổ phần VYHT,Công ty Cổ phần VYHT,Công ty Cổ phần VYHT,"19,93","19,93",2.836.345,-,(*),"19,93","19,93",2.836.345,-,(*),19.93,19.93,2836345.0,,,19.93,19.93,2836345.0,,
Công ty TNHH Kinh doanh Bất động sản MV1 Việt Nam,Công ty TNHH Kinh doanh Bất động sản MV1 Việt Nam,Công ty TNHH Kinh doanh Bất động sản MV1 Việt Nam,"19,83","19,83",2.593.324,-,(*),"19,83","19,83",2.593.324,-,(*),19.83,19.83,2593324.0,,,19.83,19.83,2593324.0,,
Công ty Cổ phần Phát triển NVY Việt Nam,Công ty Cổ phần Phát triển NVY Việt Nam,Công ty Cổ phần Phát triển NVY Việt Nam,"19,91","19,91",2.326.779,-,(*),"19,91","19,91",2.326.779,-,(*),19.91,19.91,2326779.0,,,19.91,19.91,2326779.0,,
Công ty Cổ phần Kinh doanh Bất động sản MV2 Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản MV2 Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản MV2 Việt Nam,"19,73","19,73",2.081.434,-,(*),"19,73","19,73",2.081.434,-,(*),19.73,19.73,2081434.0,,,19.73,19.73,2081434.0,,
Hối phiếu nhận nợ,Hối phiếu nhận nợ,Hối phiếu nhận nợ,-,-,2.076.411,-,(*),-,-,2.010.640,(160.361),(*),,,2076411.0,,,,,2010640.0,-160361.0,
Hợp đồng đầu tư (ii),Hợp đồng đầu tư (ii),Hợp đồng đầu tư (ii),-,-,1.958.365,(867.862),(*),-,-,1.896.333,(867.862),(*),,,1958365.0,-867862.0,,,,1896333.0,-867862.0,
"Công ty Cổ phần Di chuyển Xanh và Thông minh GSM (""Công ty GSM"")","Công ty Cổ phần Di chuyển Xanh và Thông minh GSM (""Công ty GSM"")","Công ty Cổ phần Di chuyển Xanh và Thông minh GSM (""Công ty GSM"")","5,00","5,00",1.775.000,(760.751),(*),"5,00","5,00",900.000,(363.580),(*),5.0,5.0,1775000.0,-760751.0,,5.0,5.0,900000.0,-363580.0,
Prologium Holdings Ltd,Prologium Holdings Ltd,Prologium Holdings Ltd,"2,29","2,29",1.303.850,-,(*),"2,29","2,29",1.262.550,-,(*),2.29,2.29,1303850.0,,,2.29,2.29,1262550.0,,
Công ty TNHH StoreDot,Công ty TNHH StoreDot,Công ty TNHH StoreDot,"3,75","3,75",937.268,(937.268),(*),"3,75","3,75",937.268,-,(*),3.75,3.75,937268.0,-937268.0,,3.75,3.75,937268.0,,
Công ty Cổ phần Kinh doanh Bất động sản MV Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản MV Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản MV Việt Nam,"19,82","19,82",614.958,-,(*),"19,82","19,82",614.958,-,(*),19.82,19.82,614958.0,,,19.82,19.82,614958.0,,
Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông,Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông,Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông,"9,62","9,62",521.072,(521.072),(*),"9,62","9,62",521.072,-,(*),9.62,9.62,521072.0,-521072.0,,9.62,9.62,521072.0,,
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,,,1.612.579,(252.354),(*),,,1.407.724,(196.976),(*),,,1612579.0,-252354.0,,,,1407724.0,-196976.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,30.521.035,(3.339.307),,,,19.388.427,(1.588.779),,,,30521035.0,-3339307.0,,,,19388427.0,-1588779.0,
