row_label_raw,row_label_full,col_0,Số cuối năm > Tổng khoản thanh toán tiến thuê tối thiểu,Số cuối năm > Lãi thuê tài chính,Số cuối năm > Giá trị hiện tại của khoản thanh toán,Số đầu năm > Tổng khoản thanh toán tiến thuê tối thiểu,Số đầu năm > Lãi thuê tài chính,Số đầu năm > Giá trị hiện tại của khoản thanh toán,numeric__Số cuối năm > Tổng khoản thanh toán tiến thuê tối thiểu,numeric__Số cuối năm > Lãi thuê tài chính,numeric__Số cuối năm > Giá trị hiện tại của khoản thanh toán,numeric__Số đầu năm > Tổng khoản thanh toán tiến thuê tối thiểu,numeric__Số đầu năm > Lãi thuê tài chính,numeric__Số đầu năm > Giá trị hiện tại của khoản thanh toán
Phải thu cho thuê tài chính ngắn hạn,Phải thu cho thuê tài chính ngắn hạn,Phải thu cho thuê tài chính ngắn hạn,Phải thu cho thuê tài chính ngắn hạn,Phải thu cho thuê tài chính ngắn hạn,Phải thu cho thuê tài chính ngắn hạn,Phải thu cho thuê tài chính ngắn hạn,Phải thu cho thuê tài chính ngắn hạn,Phải thu cho thuê tài chính ngắn hạn,,,,,,
Dưới 1 năm,Phải thu cho thuê tài chính ngắn hạn > Dưới 1 năm,Dưới 1 năm,59.652,10.836,48.816,199.350,64.637,134.713,59652.0,10836.0,48816.0,199350.0,64637.0,134713.0
Phải thu cho thuê tài chính dài hạn,Phải thu cho thuê tài chính dài hạn,Phải thu cho thuê tài chính dài hạn,Phải thu cho thuê tài chính dài hạn,Phải thu cho thuê tài chính dài hạn,Phải thu cho thuê tài chính dài hạn,Phải thu cho thuê tài chính dài hạn,Phải thu cho thuê tài chính dài hạn,Phải thu cho thuê tài chính dài hạn,,,,,,
Trên 1 đến 5 năm,Phải thu cho thuê tài chính dài hạn > Trên 1 đến 5 năm,Trên 1 đến 5 năm,238.475,68.432,170.043,797.400,198.532,598.868,238475.0,68432.0,170043.0,797400.0,198532.0,598868.0
Trên 5 năm,Phải thu cho thuê tài chính dài hạn > Trên 5 năm,Trên 5 năm,102.223,29.063,73.160,442.176,16.303,425.873,102223.0,29063.0,73160.0,442176.0,16303.0,425873.0
TỔNG CỘNG,Phải thu cho thuê tài chính dài hạn > TỔNG CỘNG,TỔNG CỘNG,400.350,108.331,292.019,1.438.926,279.472,1.159.454,400350.0,108331.0,292019.0,1438926.0,279472.0,1159454.0
