row_label_raw,row_label_full,Chi tiết các khoản vay dài hạn được trình bày như sau (tiếp theo):,Chi tiết các khoản vay dài hạn được trình bày như sau (tiếp theo):_1,Chi tiết các khoản vay dài hạn được trình bày như sau (tiếp theo):_2,Chi tiết các khoản vay dài hạn được trình bày như sau (tiếp theo):_3,numeric__Chi tiết các khoản vay dài hạn được trình bày như sau (tiếp theo):_1,numeric__Chi tiết các khoản vay dài hạn được trình bày như sau (tiếp theo):_2,numeric__Chi tiết các khoản vay dài hạn được trình bày như sau (tiếp theo):_3
,,,Số cuối năm,Số cuối năm,Số cuối năm,,,
Bên cho vay/thu xếp tín dụng,Bên cho vay/thu xếp tín dụng,Bên cho vay/thu xếp tín dụng,Nguyên tệ,Triêu VND,Ngày đảo hạn,,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Các bên thu xếp tín dụng của khoản vay hợp vốn 2,USD,1.557.828,Từ tháng 6 năm 2026 đến tháng 12 năm 2026,,1557828.0,
Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,1.557.828,,,1557828.0,
Các bên thu xếp tín dụng của khoản vay hợp vốn 3,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 3,Các bên thu xếp tín dụng của khoản vay hợp vốn 3,USD,5.824.389,Từ tháng 6 năm 2026 đến tháng 12 năm 2026,,5824389.0,
Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,5.824.389,,,5824389.0,
Các bên thu xếp tín dụng của khoản vay hợp vốn 4,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 4,Các bên thu xếp tín dụng của khoản vay hợp vốn 4,USD,5.013.697,Từ tháng 10 năm 2027 đến tháng 10 năm 2030,,5013697.0,
Các bên thu xếp tín dụng của khoản vay hợp vốn 5,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 5,Các bên thu xếp tín dụng của khoản vay hợp vốn 5,USD,2.924.625,Từ tháng 5 năm 2026 đến tháng 11 năm 2029,,2924625.0,
Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,420.943,,,420943.0,
Các bên thu xếp tín dụng của khoản vay hợp vốn 6,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 6,Các bên thu xếp tín dụng của khoản vay hợp vốn 6,USD,6.418.022,Từ tháng 8 năm 2026 đến tháng 5 năm 2029,,6418022.0,
