row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,26.437.375,16.738.706,26437375.0,16738706.0
Thuế TNDN tính theo thuế suất 20%,Thuế TNDN tính theo thuế suất 20%,Thuế TNDN tính theo thuế suất 20%,5.287.475,3.347.741,5287475.0,3347741.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,,,
Tải sản thuế thu nhập hoãn lại chưa được ghi nhận liên quan đến lỗ thuế của các công ty trong Tập đoàn,Các khoản điều chỉnh: > Tải sản thuế thu nhập hoãn lại chưa được ghi nhận liên quan đến lỗ thuế của các công ty trong Tập đoàn,Tải sản thuế thu nhập hoãn lại chưa được ghi nhận liên quan đến lỗ thuế của các công ty trong Tập đoàn,7.810.676,4.494.350,7810676.0,4494350.0
Chi phí lãi vay không được trừ,Các khoản điều chỉnh: > Chi phí lãi vay không được trừ,Chi phí lãi vay không được trừ,4.350.873,3.958.620,4350873.0,3958620.0
Doanh thu chưa thực hiện từ bảo hành mở rộng và chi phí bảo hành không được trừ,Các khoản điều chỉnh: > Doanh thu chưa thực hiện từ bảo hành mở rộng và chi phí bảo hành không được trừ,Doanh thu chưa thực hiện từ bảo hành mở rộng và chi phí bảo hành không được trừ,3.359.012,746.578,3359012.0,746578.0
Chi phí hỗ trợ bán hàng không được trừ,Các khoản điều chỉnh: > Chi phí hỗ trợ bán hàng không được trừ,Chi phí hỗ trợ bán hàng không được trừ,1.203.692,55.645,1203692.0,55645.0
Chi phí không được trừ liên quan đến chương trình miễn phí sạc,Các khoản điều chỉnh: > Chi phí không được trừ liên quan đến chương trình miễn phí sạc,Chi phí không được trừ liên quan đến chương trình miễn phí sạc,1.018.481,103.007,1018481.0,103007.0
Điều chỉnh thu nhập/chỉ phí trên báo cáo hợp nhất liên quan đến chênh lệch phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Các khoản điều chỉnh: > Điều chỉnh thu nhập/chỉ phí trên báo cáo hợp nhất liên quan đến chênh lệch phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Điều chỉnh thu nhập/chỉ phí trên báo cáo hợp nhất liên quan đến chênh lệch phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,648.915,347.695,648915.0,347695.0
Chi phí tài trợ không được trừ,Các khoản điều chỉnh: > Chi phí tài trợ không được trừ,Chi phí tài trợ không được trừ,46.041,2.415.437,46041.0,2415437.0
Điều chỉnh (lãi)/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn,Các khoản điều chỉnh: > Điều chỉnh (lãi)/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn,Điều chỉnh (lãi)/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn,(8.287.213),2.137.912,-8287213.0,2137912.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(1.050.251),(4.359.850),-1050251.0,-4359850.0
Điều chỉnh chi phí lãi vay không được trừ của các năm trước vào năm nay,Các khoản điều chỉnh: > Điều chỉnh chi phí lãi vay không được trừ của các năm trước vào năm nay,Điều chỉnh chi phí lãi vay không được trừ của các năm trước vào năm nay,(433.400),(1.789.960),-433400.0,-1789960.0
Hoàn nhập ảnh hưởng dự phòng đầu tư vào công ty con,Các khoản điều chỉnh: > Hoàn nhập ảnh hưởng dự phòng đầu tư vào công ty con,Hoàn nhập ảnh hưởng dự phòng đầu tư vào công ty con,(426.602),(1.659.823),-426602.0,-1659823.0
Các khoản khác,Các khoản điều chỉnh: > Các khoản khác,Các khoản khác,1.844.862,1.665.296,1844862.0,1665296.0
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,15.372.561,11.462.648,15372561.0,11462648.0
