row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số đầu năm > Tăng,Số phát sinh trong năm > Giảm,Số phát sinh trong năm > Giá trị (đồng thời là số có khả năng trả nợ),Đơn vị tính: triệu VND Số cuối năm,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số đầu năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số phát sinh trong năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Đơn vị tính: triệu VND Số cuối năm
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,,,,,,
Vay ngắn hạn,Vay và nợ thuê tài chính ngắn hạn > Vay ngắn hạn,Vay ngắn hạn,26.1,54.679.033,110.413.398,(96.900.917),68.191.514,,261.0,54679033.0,110413398.0,-96900917.0,68191514.0,
- Vay hạn mức tín dụng,Vay và nợ thuê tài chính ngắn hạn > - Vay hạn mức tín dụng,- Vay hạn mức tín dụng,,54.145.601,103.470.446,(89.424.533),68.191.514,,,54145601.0,103470446.0,-89424533.0,68191514.0,
- Vay ngắn hạn khác,Vay và nợ thuê tài chính ngắn hạn > - Vay ngắn hạn khác,- Vay ngắn hạn khác,,533.432,6.942.952,(7.476.384),-,,,533432.0,6942952.0,-7476384.0,,
Vay dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,26.2,17.137.476,31.023.495,(29.697.291),18.463.680,,262.0,17137476.0,31023495.0,-29697291.0,18463680.0,
Trải phiếu dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Trải phiếu dài hạn đến hạn trả,Trải phiếu dài hạn đến hạn trả,26.3,23.115.228,27.865.165,(23.743.005),27.237.388,,263.0,23115228.0,27865165.0,-23743005.0,27237388.0,
Nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,,257.408,113.536,(263.042),107.902,,,257408.0,113536.0,-263042.0,107902.0,
TỔNG CỘNG,Vay và nợ thuê tài chính ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,95.189.145,169.415.594,(150.604.255),114.000.484,,,95189145.0,169415594.0,-150604255.0,114000484.0,
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,,,,,,
Vay dài hạn,Vay và nợ thuê tài chính dài hạn > Vay dài hạn,Vay dài hạn,26.2,77.403.555,133.573.890,(83.933.981),127.043.464,,262.0,77403555.0,133573890.0,-83933981.0,127043464.0,
Trải phiếu dài hạn,Vay và nợ thuê tài chính dài hạn > Trải phiếu dài hạn,Trải phiếu dài hạn,26.3,51.520.340,71.873.961,(29.049.889),94.344.412,,263.0,51520340.0,71873961.0,-29049889.0,94344412.0,
Nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn > Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,,118.019,23.690,(110.244),31.465,,,118019.0,23690.0,-110244.0,31465.0,
TỔNG CỘNG,Vay và nợ thuê tài chính dài hạn > TỔNG CỘNG,TỔNG CỘNG,,129.041.914,205.471.541,(113.094.114),221.419.341,,,129041914.0,205471541.0,-113094114.0,221419341.0,
