row_label_raw,row_label_full,col_0,Số đầu năm,Thay đổi trong năm > Phát hành thêm,Thay đổi trong năm > Đã hoán đổi thành cổ phiếu,Thay đổi trong năm > Mua lại trải phiếu,Đơn vị tính: USD > Số cuối năm,numeric__Số đầu năm,numeric__Thay đổi trong năm > Phát hành thêm,numeric__Thay đổi trong năm > Đã hoán đổi thành cổ phiếu,numeric__Thay đổi trong năm > Mua lại trải phiếu,numeric__Đơn vị tính: USD > Số cuối năm
Trái phiếu hoán đổi số 3,Trái phiếu hoán đổi số 3,Trái phiếu hoán đổi số 3,150.000.000,-,-,(29.600.000),120.400.000,150000000.0,,,-29600000.0,120400000.0
,,,,,,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,,,,,
,,,,,,Năm nay,Năm trước,,,,,
Giá trị trái phiếu hoán đổi,Giá trị trái phiếu hoán đổi,Giá trị trái phiếu hoán đổi,,,,3.631.150,3.631.150,,,,3631150.0,3631150.0
Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,,,,-,-,,,,,
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu vốn chủ sở hữu > Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,,,,3.631.150,3.631.150,,,,3631150.0,3631150.0
Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,,,,,
Số đầu năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Số đầu năm,Số đầu năm,,,,9.024,-,,,,9024.0,
Số tăng trong năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Số tăng trong năm,Số tăng trong năm,,,,47.335,9.024,,,,47335.0,9024.0
Số cuối năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Số cuối năm,Số cuối năm,,,,56.359,9.024,,,,56359.0,9024.0
Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,,,,173.858,48.824,,,,173858.0,48824.0
Trừ: Thực hiện mua lại trước hạn và thanh toán bằng tiền đối với các thông báo chuyển đổi sang cổ phiếu từ trái chủ,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Trừ: Thực hiện mua lại trước hạn và thanh toán bằng tiền đối với các thông báo chuyển đổi sang cổ phiếu từ trái chủ,Trừ: Thực hiện mua lại trước hạn và thanh toán bằng tiền đối với các thông báo chuyển đổi sang cổ phiếu từ trái chủ,,,,(780.160),-,,,,-780160.0,
Cơ cấu nợ gốc tại ngày cuối năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,,,,3.081.207,3.688.998,,,,3081207.0,3688998.0
