row_label_raw,row_label_full,Bên liên quan > Tài sản dài hạn khác (Thuyết minh số 13) > Tập đoàn Đầu tư Việt Nam,Môi quan hệ > Tài sản dài hạn khác (Thuyết minh số 13) > Chịu sự kiểm soát chung,Nội dung nghiệp vụ > Tài sản dài hạn khác (Thuyết minh số 13) > Đặt cọc cho mục đích hợp tác kinh doanh,Đơn vị tính: triệu VND > Số cuối năm > Tài sản dài hạn khác (Thuyết minh số 13) > 25.200.000,Đơn vị tính: triệu VND > Số đầu năm > Tài sản dài hạn khác (Thuyết minh số 13) > -,numeric__Môi quan hệ > Tài sản dài hạn khác (Thuyết minh số 13) > Chịu sự kiểm soát chung,numeric__Nội dung nghiệp vụ > Tài sản dài hạn khác (Thuyết minh số 13) > Đặt cọc cho mục đích hợp tác kinh doanh,numeric__Đơn vị tính: triệu VND > Số cuối năm > Tài sản dài hạn khác (Thuyết minh số 13) > 25.200.000,numeric__Đơn vị tính: triệu VND > Số đầu năm > Tài sản dài hạn khác (Thuyết minh số 13) > -
Công ty Cổ phần Đầu tư và Phát triển Đồ thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đồ thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đồ thị Sài Đồng,Chịu sự kiểm soát chung,Đặt cọc cho mục đích nhận chuyển nhượng tài sản,-,61.666,,,,61666.0
,,,,,25.200.000,61.666,,,25200000.0,61666.0
Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),,,,
Công ty V-Green,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty V-Green,Công ty V-Green,Chịu sự kiểm soát chung,Phải trả liên quan đến cung cấp dịch vụ,508.425,144.822,,,508425.0,144822.0
Công ty Vận hành Vincom Retail,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải trả liên quan đến cung cấp dịch vụ,199.784,310.688,,,199784.0,310688.0
Công ty GSM,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Phải trả liên quan đến cung cấp dịch vụ,81.413,56.285,,,81413.0,56285.0
Công ty Green Future,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty Green Future,Công ty Green Future,Chịu sự kiểm soát chung,Phải trả liên quan đến cung cấp dịch vụ,64.332,-,,,64332.0,
Công ty Vincom Retail,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Phải trả liên quan đến cung cấp dịch vụ,20.648,49.571,,,20648.0,49571.0
,,,,,874.602,561.366,,,874602.0,561366.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),,,,
Công ty Vincom Retail,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Nhận tiền trả trước cho mục đích chuyển nhượng bất động sản,1.184.412,-,,,1184412.0,
Công ty V-G,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Công ty V-G,Công ty V-G,Công ty liên doanh,Nhận tiền từ khách hàng liên quan đến hợp đồng xây dựng,-,9.596,,,,9596.0
,,,,,1.184.412,9.596,,,1184412.0,9596.0
Chi phí phải trả ngắn hạn (Thuyết minh số 23),Chi phí phải trả ngắn hạn (Thuyết minh số 23),Chi phí phải trả ngắn hạn (Thuyết minh số 23),Chi phí phải trả ngắn hạn (Thuyết minh số 23),Chi phí phải trả ngắn hạn (Thuyết minh số 23),Chi phí phải trả ngắn hạn (Thuyết minh số 23),Chi phí phải trả ngắn hạn (Thuyết minh số 23),,,,
Cổ đông lớn của công ty con 3,Chi phí phải trả ngắn hạn (Thuyết minh số 23) > Cổ đông lớn của công ty con 3,Cổ đông lớn của công ty con 3,Cổ đông lớn của công ty con,Chi phí lãi vay phải trả,156.955,-,,,156955.0,
Công ty Vincom Retail,Chi phí phải trả ngắn hạn (Thuyết minh số 23) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Chi phí lãi cọc phải trả,111.089,163.262,,,111089.0,163262.0
Công ty Vận hành Vincom Retail,Chi phí phải trả ngắn hạn (Thuyết minh số 23) > Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Chi phí lãi cọc phải trả,21.711,117.405,,,21711.0,117405.0
,,,,,289.755,280.667,,,289755.0,280667.0
Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),,,,
Cổ đông lớn của công ty con 3,Chi phí phải trả dài hạn (Thuyết minh số 23) > Cổ đông lớn của công ty con 3,Cổ đông lớn của công ty con 3,Cổ đông lớn của công ty con,Chi phí lãi vay phải trả,-,55.318,,,,55318.0
,,,,,-,55.318,,,,55318.0
