row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Đơn vị tính: triệu VND > Số đầu năm > Giá gốc,Đơn vị tính: triệu VND > Số đầu năm > Giá trị hợp lý,Đơn vị tính: triệu VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: triệu VND > Số đầu năm > Giá gốc,numeric__Đơn vị tính: triệu VND > Số đầu năm > Giá trị hợp lý,numeric__Đơn vị tính: triệu VND > Số đầu năm > Dự phòng
Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),1.583.614,1.583.614,-,1.500.000,(*),-,1583614.0,1583614.0,,1500000.0,,
Các khoản đầu tư khác,Các khoản đầu tư khác,Các khoản đầu tư khác,-,-,-,2.128.250,(*),-,,,,2128250.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.583.614,1.583.614,-,3.628.250,(*),-,1583614.0,1583614.0,,3628250.0,,
