row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Công trình khí vàcác thiết bị khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Công trình khí vàcác thiết bị khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,6.566.975.627.911,4.893.496.260.518,226.235.541.037,331.692.521.745,31.541.999.445.131,43.560.399.396.342,6566975627911.0,4893496260518.0,226235541037.0,331692521745.0,31541999445131.0,43560399396342.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,12.938.206.598,38.821.039.002,10.383.186.877,30.853.701.254,3.265.128.936,96.261.262.667,12938206598.0,38821039002.0,10383186877.0,30853701254.0,3265128936.0,96261262667.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),6.628.378.845,46.951.000,-,-,6.713.247.596.147,6.719.922.925.992,6628378845.0,46951000.0,,,6713247596147.0,6719922925992.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(771.009.092),(1.937.874.480),-,(16.884.874.374),(74.682.436.321),(94.276.194.267),-771009092.0,-1937874480.0,,-16884874374.0,-74682436321.0,-94276194267.0
Phân loại lại (*),Nguyên giá > Phân loại lại (*),Phân loại lại (*),(1.018.568.472.727),(3.688.609.608.061),(3.335.569.260),-,4.710.513.650.048,-,-1018568472727.0,-3688609608061.0,-3335569260.0,,4710513650048.0,
Khác (**),Nguyên giá > Khác (**),Khác (**),(119.959.311.247),(14.257.882.692),9.918.136.032,291.570.815,26.511.123.144,(97.496.363.948),-119959311247.0,-14257882692.0,9918136032.0,291570815.0,26511123144.0,-97496363948.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,5.447.243.420.288,1.227.558.885.287,243.201.294.686,345.952.919.440,42.920.854.507.085,50.184.811.026.786,5447243420288.0,1227558885287.0,243201294686.0,345952919440.0,42920854507085.0,50184811026786.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,3.691.831.674.452,1.285.124.186.312,138.052.515.288,250.372.013.083,24.967.366.490.603,30.332.746.879.738,3691831674452.0,1285124186312.0,138052515288.0,250372013083.0,24967366490603.0,30332746879738.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,444.243.652.544,348.812.183.759,11.634.193.682,40.408.059.577,1.398.436.853.301,2.243.534.942.863,444243652544.0,348812183759.0,11634193682.0,40408059577.0,1398436853301.0,2243534942863.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(771.009.092),(1.937.874.480),-,(16.884.874.374),(74.682.436.321),(94.276.194.267),-771009092.0,-1937874480.0,,-16884874374.0,-74682436321.0,-94276194267.0
Phân loại lại (*),Khấu hao lũy kế > Phân loại lại (*),Phân loại lại (*),(232.449.303.150),(843.124.611.336),(1.646.569.617),-,1.077.220.484.103,-,-232449303150.0,-843124611336.0,-1646569617.0,,1077220484103.0,
Khác,Khấu hao lũy kế > Khác,Khác,1.831.678.585,442.313.187,-,(424.740.613),(5.941.883),1.843.309.276,1831678585.0,442313187.0,,-424740613.0,-5941883.0,1843309276.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,3.904.686.693.339,789.316.197.442,148.040.139.353,273.470.457.673,27.368.335.449.803,32.483.848.937.610,3904686693339.0,789316197442.0,148040139353.0,273470457673.0,27368335449803.0,32483848937610.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,2.875.143.953.459,3.608.372.074.206,88.183.025.749,81.320.508.662,6.574.632.954.528,13.227.652.516.604,2875143953459.0,3608372074206.0,88183025749.0,81320508662.0,6574632954528.0,13227652516604.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,1.542.556.726.949,438.242.687.845,95.161.155.333,72.482.461.767,15.552.519.057.282,17.700.962.089.176,1542556726949.0,438242687845.0,95161155333.0,72482461767.0,15552519057282.0,17700962089176.0
