row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2019,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 210.679.541.297,Quỹ đầu tư và phát triển VND > 14.539.253.148.710,LNST chưa phân phối lũy kê của các năm trước VND > 3.871.761.945.813,LNST chưa phân phối năm nay VND > 7.436.403.033.759,Tổng cộng VND > 45.197.597.669.579,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 210.679.541.297,numeric__Quỹ đầu tư và phát triển VND > 14.539.253.148.710,numeric__LNST chưa phân phối lũy kê của các năm trước VND > 3.871.761.945.813,numeric__LNST chưa phân phối năm nay VND > 7.436.403.033.759,numeric__Tổng cộng VND > 45.197.597.669.579
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,7.436.403.033.759,(7.436.403.033.759),-,,,,7436403033759.0,-7436403033759.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,11.920.871.502.129,11.920.871.502.129,,,,,11920871502129.0,11920871502129.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,4.058.000.000.000,(4.058.000.000.000),-,-,,,4058000000000.0,-4058000000000.0,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18)",-,-,-,(138.949.750.000),(127.112.250.000),(266.062.000.000),,,,-138949750000.0,-127112250000.0,-266062000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(6.316.035.000.000),(1.913.950.000.000),(8.229.985.000.000),,,,-6316035000000.0,-1913950000000.0,-8229985000000.0
Khác,Khác,Khác,-,-,-,(64.024.822),10.518.898.424,10.454.873.602,,,,-64024822.0,10518898424.0,10454873602.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,19.139.500.000.000,210.679.541.297,18.597.253.148.710,795.116.204.750,9.890.328.150.553,48.632.877.045.310,19139500000000.0,210679541297.0,18597253148710.0,795116204750.0,9890328150553.0,48632877045310.0
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,9.890.328.150.553,(9.890.328.150.553),-,,,,9890328150553.0,-9890328150553.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,8.069.010.868.266,8.069.010.868.266,,,,,8069010868266.0,8069010868266.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18) (*)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18) (*)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 18) (*)",-,-,-,(146.001.776.715),(135.399.549.571),(281.401.326.286),,,,-146001776715.0,-135399549571.0,-281401326286.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,(6.698.825.000.000),-,(6.698.825.000.000),,,,-6698825000000.0,,-6698825000000.0
Tiền chênh lệch giá khí phải trả cho Nhà nước (**),Tiền chênh lệch giá khí phải trả cho Nhà nước (**),Tiền chênh lệch giá khí phải trả cho Nhà nước (**),-,-,-,(1.186.877.709.681),-,(1.186.877.709.681),,,,-1186877709681.0,,-1186877709681.0
Thuế TNDN điều chỉnh giảm liên quan đến chi trả tiền chênh lệch giá khí cho Nhà nước,Thuế TNDN điều chỉnh giảm liên quan đến chi trả tiền chênh lệch giá khí cho Nhà nước,Thuế TNDN điều chỉnh giảm liên quan đến chi trả tiền chênh lệch giá khí cho Nhà nước,-,-,-,237.375.541.937,-,237.375.541.937,,,,237375541937.0,,237375541937.0
Khác,Khác,Khác,-,-,-,14.230.911.157,-,14.230.911.157,,,,14230911157.0,,14230911157.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,19.139.500.000.000,210.679.541.297,18.597.253.148.710,2.905.346.322.001,7.933.611.318.695,48.786.390.330.703,19139500000000.0,210679541297.0,18597253148710.0,2905346322001.0,7933611318695.0,48786390330703.0
