row_label_raw,row_label_full,PHẢI THU KHÁC (tiếp theo),PHẢI THU KHÁC (tiếp theo)_1,PHẢI THU KHÁC (tiếp theo)_2,PHẢI THU KHÁC (tiếp theo)_3,PHẢI THU KHÁC (tiếp theo)_4,numeric__PHẢI THU KHÁC (tiếp theo)_1,numeric__PHẢI THU KHÁC (tiếp theo)_2,numeric__PHẢI THU KHÁC (tiếp theo)_3,numeric__PHẢI THU KHÁC (tiếp theo)_4
Dài hạn,Dài hạn,Dài hạn,2020,2020,2019,2019,2020.0,2020.0,2019.0,2019.0
Dài hạn,Dài hạn,Dài hạn,Giá trị VND,Dự phòng VND,Giá trị VND,Dự phòng VND,,,,
Phải thu góp vốn theo BCC (*),Dài hạn > Phải thu góp vốn theo BCC (*),Phải thu góp vốn theo BCC (*),73.819.086.015,-,35.923.908.884,-,73819086015.0,,35923908884.0,
"Ký quỹ, ký cược","Dài hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",4.975.000.000,-,4.703.000.000,-,4975000000.0,,4703000000.0,
,,,78.794.086.015,-,40.626.908.884,-,78794086015.0,,40626908884.0,
