row_label_raw,row_label_full,col_0,2020 > Giá trị gốc VND,2020 > Giá trị có thể thu hồi VND,2020 > Dự phòng VND,2019 > Giá trị gốc VND,2019 > Giá trị có thể thu hồi VND,2019 > Dự phòng VND,numeric__2020 > Giá trị gốc VND,numeric__2020 > Giá trị có thể thu hồi VND,numeric__2020 > Dự phòng VND,numeric__2019 > Giá trị gốc VND,numeric__2019 > Giá trị có thể thu hồi VND,numeric__2019 > Dự phòng VND
Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,Công ty Cổ phần Sản xuất,,,,,,
Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất > Ông thép Dầu khí Việt Nam,Ông thép Dầu khí Việt Nam,379.261.197.738,127.010.814.682,252.250.383.056,375.115.244.812,119.326.808.664,255.788.436.148,379261197738.0,127010814682.0,252250383056.0,375115244812.0,119326808664.0,255788436148.0
Trên 3 năm,Công ty Cổ phần Sản xuất > Trên 3 năm,Trên 3 năm,121.780.092.695,-,121.780.092.695,69.008.360.803,-,69.008.360.803,121780092695.0,,121780092695.0,69008360803.0,,69008360803.0
Từ 2 năm đến 3 năm,Công ty Cổ phần Sản xuất > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,114.950.844.519,34.485.253.356,80.465.591.163,179.009.464.640,53.702.839.392,125.306.625.248,114950844519.0,34485253356.0,80465591163.0,179009464640.0,53702839392.0,125306625248.0
Từ 1 năm đến 2 năm,Công ty Cổ phần Sản xuất > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,36.228.105.204,18.114.052.602,18.114.052.602,116.721.121.430,58.360.560.715,58.360.560.715,36228105204.0,18114052602.0,18114052602.0,116721121430.0,58360560715.0,58360560715.0
Từ 6 tháng đến 1 năm,Công ty Cổ phần Sản xuất > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,106.302.155.320,74.411.508.724,31.890.646.596,10.376.297.939,7.263.408.557,3.112.889.382,106302155320.0,74411508724.0,31890646596.0,10376297939.0,7263408557.0,3112889382.0
Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,Công ty Cổ phần Phát triển,,,,,,
Đô thị Dầu khí,Công ty Cổ phần Phát triển > Đô thị Dầu khí,Đô thị Dầu khí,50.000.000.000,-,50.000.000.000,50.000.000.000,-,50.000.000.000,50000000000.0,,50000000000.0,50000000000.0,,50000000000.0
Trên 3 năm,Công ty Cổ phần Phát triển > Trên 3 năm,Trên 3 năm,50.000.000.000,-,50.000.000.000,50.000.000.000,-,50.000.000.000,50000000000.0,,50000000000.0,50000000000.0,,50000000000.0
,,,429.261.197.738,127.010.814.682,302.250.383.056,425.115.244.812,119.326.808.664,305.788.436.148,429261197738.0,127010814682.0,302250383056.0,425115244812.0,119326808664.0,305788436148.0
