row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,306.470.605.955,155.586.011.932,462.056.617.887,306470605955.0,155586011932.0,462056617887.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,54.682.047.266,54.682.047.266,,54682047266.0,54682047266.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(11.586.063.510),(11.586.063.510),,-11586063510.0,-11586063510.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,306.470.605.955,198.681.995.688,505.152.601.643,306470605955.0,198681995688.0,505152601643.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,3.705.255.565,110.388.544.305,114.093.799.870,3705255565.0,110388544305.0,114093799870.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,332.944.764,28.829.884.113,29.162.828.877,332944764.0,28829884113.0,29162828877.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(11.586.063.510),(11.586.063.510),,-11586063510.0,-11586063510.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,4.038.200.329,127.632.364.908,131.670.565.237,4038200329.0,127632364908.0,131670565237.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,302.765.350.390,45.197.467.627,347.962.818.017,302765350390.0,45197467627.0,347962818017.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,302.432.405.626,71.049.630.780,373.482.036.406,302432405626.0,71049630780.0,373482036406.0
