row_label_raw,row_label_full,Mãsố,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,Thuyếtminh,2020VND,2019VND,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,10.024.172.110.141,14.770.969.212.886,,10024172110141.0,14770969212886.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khấu hao tài sản cố định (""TSCĐ"")",2.272.697.771.740,2.308.013.819.094,,2272697771740.0,2308013819094.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Các khoản dự phòng,904.293.613.802,886.854.066.141,,904293613802.0,886854066141.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lãi chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,(15.423.024.604),(15.875.765.982),,-15423024604.0,-15875765982.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(1.476.936.781.158),(1.719.248.964.242),,-1476936781158.0,-1719248964242.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay,88.528.532.475,163.670.626.319,,88528532475.0,163670626319.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trướcnhững thay đổi vốn lưu động,11.797.332.222.396,16.394.382.994.216,,11797332222396.0,16394382994216.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,(Tăng)/giảm các khoản phải thu,(1.502.223.427.248),540.823.679.483,,-1502223427248.0,540823679483.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,(Tăng)/giảm hàng tồn kho,(240.306.282.731),347.519.127.851,,-240306282731.0,347519127851.0
11,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,Tăng/(giảm) các khoản phải trả,115.076.296.650,(1.519.966.768.725),,115076296650.0,-1519966768725.0
12,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,Tăng chi phí trả trước,(194.748.778.888),(57.797.223.045),,-194748778888.0,-57797223045.0
14,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay đã trả,(81.062.864.993),(239.186.339.458),,-81062864993.0,-239186339458.0
15,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 15,15,Tiền thuế TNDN đã nộp,(2.013.232.196.816),(2.723.706.658.718),,-2013232196816.0,-2723706658718.0
17,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,Tiền chi khác từ hoạt động kinh doanh,(1.319.003.775.984),(315.094.680.859),,-1319003775984.0,-315094680859.0
20,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,6.561.831.192.386,12.426.974.130.745,,6561831192386.0,12426974130745.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,,,
21,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 21,21,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sảndài hạn khác",(5.247.416.628.438),(2.569.910.604.087),,-5247416628438.0,-2569910604087.0
22,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 22,22,"Thu từ thanh lý, nhượng bán TSCĐ",-,41.000.000,,,41000000.0
23,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 23,23,Tiền gửi tiền ngân hàng có kỳ hạn trên 3 tháng,(28.355.772.135.731),(37.080.400.000.000),,-28355772135731.0,-37080400000000.0
24,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 24,24,Thu tiền gửi ngân hàng có kỳ hạn trên 3 tháng,31.780.000.000.000,33.650.400.000.000,,31780000000000.0,33650400000000.0
25,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,-,(87.801.500.000),,,-87801500000.0
27,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 27,27,"Thu lãi tiền gửi, cổ tức và lợi nhuận được chia",1.665.033.117.689,1.593.313.026.481,,1665033117689.0,1593313026481.0
30,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,(158.155.646.480),(4.494.358.077.606),,-158155646480.0,-4494358077606.0
